SPORT_CODE_SA	GENDER_SA	ETHNICITY_SA	DATATAB_FED_NUMERATOR	FED_NUM_2008_SA	FED_NUM_2007_SA	FED_NUM_2006_SA	FED_NUM_2005_SA	FED_NUM_2004_SA	FED_NUM_2003_SA	FED_NUM_2002_SA	FED_NUM_2001_SA	FED_NUM_2000_SA	FED_NUM_1999_SA	FED_NUM_1998_SA	FED_NUM_1997_SA	FED_NUM_1996_SA	FED_NUM_1995_SA	DATATAB_FED_DENOMINATOR	FED_DEN_2008_SA	FED_DEN_2007_SA	FED_DEN_2006_SA	FED_DEN_2005_SA	FED_DEN_2004_SA	FED_DEN_2003_SA	FED_DEN_2002_SA	FED_DEN_2001_SA	FED_DEN_2000_SA	FED_DEN_1999_SA	FED_DEN_1998_SA	FED_DEN_1997_SA	FED_DEN_1996_SA	FED_DEN_1995_SA	DATATAB_ASR_NUMERATOR	ASR_NUM_2008	ASR_NUM_2007	ASR_NUM_2006	ASR_NUM_2005	ASR_NUM_2004	ASR_NUM_2003	ASR_NUM_2002	ASR_NUM_2001	ASR_NUM_2000	ASR_NUM_1999	ASR_NUM_1998	ASR_NUM_1997	ASR_NUM_1996	ASR_NUM_1995	DATATAB_ASR_DENOMINATOR	ASR_DEN_2008	ASR_DEN_2007	ASR_DEN_2006	ASR_DEN_2005	ASR_DEN_2004	ASR_DEN_2003	ASR_DEN_2002	ASR_DEN_2001	ASR_DEN_2000	ASR_DEN_1999	ASR_DEN_1998	ASR_DEN_1997	ASR_DEN_1996	ASR_DEN_1995
MBA	M	aa	 	47	28	24	22	32	29	29	24	19	14	51	8	24	25	 	85	64	55	59	67	59	53	56	63	43	94	28	63	56	 	82	62	56	61	80	66	47	54	48	32	51	8	24	25	 	138	103	112	115	119	96	92	111	109	76	92	28	63	56
MBA	M	other	 	87	67	67	71	62	53	52	52	56	43	50	57	45	37	 	168	141	159	153	147	133	118	135	135	89	101	113	99	92	 	261	258	221	203	200	161	159	162	140	110	50	57	45	37	 	401	377	337	330	322	257	263	284	235	180	91	105	88	85
MBA	M	wh	 	561	589	527	464	436	408	445	386	380	364	340	303	374	288	 	1097	1155	992	897	851	836	790	721	744	702	652	625	761	586	 	1600	1510	1460	1287	1313	1179	1173	1066	1069	1047	340	303	374	288	 	2164	2095	2070	1793	1825	1700	1671	1476	1544	1449	630	625	761	586
MBB	M	aa	 	115	134	113	88	104	117	107	112	115	105	127	75	109	91	 	328	314	317	259	267	297	266	278	313	274	322	233	308	269	 	369	351	329	297	302	285	277	273	266	209	129	75	110	91	 	814	768	751	657	625	620	571	536	579	474	305	233	309	269
MBB	M	other	 	47	43	44	34	28	31	45	42	41	33	31	27	34	30	 	95	102	97	97	101	85	96	105	101	82	80	64	91	61	 	131	119	107	105	95	83	90	112	91	66	34	27	34	30	 	193	180	170	179	171	149	147	187	167	125	71	64	91	61
MBB	M	wh	 	198	201	171	170	178	131	146	164	171	167	153	171	179	160	 	372	387	331	336	318	268	273	309	304	330	306	322	353	320	 	394	371	377	340	369	288	296	329	327	310	160	172	179	166	 	505	483	516	459	483	394	410	438	466	465	298	326	354	327
MFB	M	aa	 	360	404	377	335	289	249	280	269	283	242	301	262	234	214	 	1251	1239	1103	926	889	773	850	733	794	712	801	688	715	591	 	790	783	727	712	604	593	578	522	492	445	305	262	234	214	 	2079	1943	1894	1669	1476	1444	1443	1277	1232	1133	765	688	715	591
MFB	M	other	 	138	111	96	111	88	80	75	84	60	93	47	63	41	61	 	381	300	275	257	238	195	177	182	179	201	136	139	115	112	 	273	244	249	225	201	173	160	186	140	160	47	63	41	61	 	559	504	510	436	397	352	319	368	309	307	128	139	115	112
MFB	M	wh	 	829	845	722	755	696	516	591	562	642	653	633	538	558	535	 	1759	1826	1590	1530	1507	1155	1213	1166	1281	1286	1283	1105	1262	1111	 	1523	1515	1367	1405	1337	1228	1205	1211	1294	1297	633	538	558	535	 	2351	2365	2243	2097	2088	1938	1907	2009	2037	2049	1227	1105	1262	1111
MFE	M	aa	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
MFE	M	other	 	-99	4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	7	4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	7	4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
