SCL_UNITID	SCL_NAME	SCL_DIVISION	SCL_SUBDIVISION	SCL_CONFERENCE	SCL_HBCU	SCL_PRIVATE	SPORT	FED_RATE	ASR
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	MSO	56	72
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	MBB	75	82
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	MBA	59	62
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	WSO	46	65
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	WSB	80	87
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	WTE	33	67
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	MTE	75	73
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	WTR	68	76
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	WBB	40	67
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	MTR	44	63
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	WVB	75	88
100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	MIH	67	76
101587	University of West Alabama	2	0	Gulf South Conference	2	0	WTR	60	100
101587	University of West Alabama	2	0	Gulf South Conference	2	0	WVB	57	83
101587	University of West Alabama	2	0	Gulf South Conference	2	0	MTR	55	89
101587	University of West Alabama	2	0	Gulf South Conference	2	0	MTE	80	83
101587	University of West Alabama	2	0	Gulf South Conference	2	0	MFB	41	43
101587	University of West Alabama	2	0	Gulf South Conference	2	0	MBA	69	64
101587	University of West Alabama	2	0	Gulf South Conference	2	0	WBB	64	57
101587	University of West Alabama	2	0	Gulf South Conference	2	0	MBB	57	30
101587	University of West Alabama	2	0	Gulf South Conference	2	0	WTE	0	50
101587	University of West Alabama	2	0	Gulf South Conference	2	0	WSB	47	77
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	WVB	50	67
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	WTR	67	80
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	MBB	67	44
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	MTR	50	100
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	MBA	60	80
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	MFB	36	44
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	WSB	71	69
101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	WBB	38	71
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	WGO	44	80
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	WTR	83	77
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	MGO	57	79
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	WSO	82	67
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	MBB	25	45
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	MSO	67	73
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	WVB	69	89
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	MTR	-99	100
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	MBA	64	71
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	WTE	45	69
101709	University of Montevallo	2	0	Peach Belt Conference	2	0	WBB	36	46
101879	University of North Alabama	2	0	Gulf South Conference	2	0	MTE	17	83
101879	University of North Alabama	2	0	Gulf South Conference	2	0	MGO	38	67
101879	University of North Alabama	2	0	Gulf South Conference	2	0	MBA	79	70
101879	University of North Alabama	2	0	Gulf South Conference	2	0	WVB	67	81
101879	University of North Alabama	2	0	Gulf South Conference	2	0	WSB	53	86
101879	University of North Alabama	2	0	Gulf South Conference	2	0	MTR	43	100
101879	University of North Alabama	2	0	Gulf South Conference	2	0	WTR	78	100
101879	University of North Alabama	2	0	Gulf South Conference	2	0	WTE	80	100
101879	University of North Alabama	2	0	Gulf South Conference	2	0	WSO	42	82
101879	University of North Alabama	2	0	Gulf South Conference	2	0	MFB	31	46
101879	University of North Alabama	2	0	Gulf South Conference	2	0	MBB	33	42
101879	University of North Alabama	2	0	Gulf South Conference	2	0	WBB	60	89
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	MTE	50	50
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	MTR	75	67
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	MBA	40	46
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	WVB	33	89
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	WBB	91	93
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	WSB	67	93
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	WTE	50	100
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	MBB	17	20
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	WTR	50	80
102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	MFB	52	58
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	WSB	67	92
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	WVB	60	83
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	MTR	43	67
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	WTR	40	88
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	MBB	31	39
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	WTE	33	71
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	MTE	100	75
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	WBB	50	92
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	MFB	37	48
102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	MBA	42	77
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	WVB	40	56
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	MIH	45	57
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	WTR	57	76
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	MTR	59	61
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	WSK	77	100
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	MBB	38	48
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	WGY	73	67
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	MSK	64	76
102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	WBB	46	40
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	WSW	69	63
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	WBB	22	44
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	XRI	56	67
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	WTR	40	71
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	MIH	59	74
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	MSK	40	80
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	MTR	50	70
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	MBB	8	23
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	WVB	64	70
102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	WSK	100	100
104717	Grand Canyon University	2	0	Western Athletic Conference	2	1	WVB	80	95
104717	Grand Canyon University	2	0	Western Athletic Conference	2	1	MVB	25	27
104717	Grand Canyon University	2	0	Western Athletic Conference	2	1	MTE	50	63
104717	Grand Canyon University	2	0	Western Athletic Conference	2	1	WBB	50	68
104717	Grand Canyon University	2	0	Western Athletic Conference	2	1	MGO	46	65
