SPORT_CODE	DATATAB_FED_RATE	FED_RATE_2008	FED_RATE_2007	FED_RATE_2006	FED_RATE_2005	FED_RATE_2004	FED_RATE_2003	FED_RATE_2002	FED_RATE_2001	FED_RATE_2000	FED_RATE_1999	FED_RATE_1998	FED_RATE_1997	FED_RATE_1996	FED_RATE_1995	DATATAB_ASR	ASR_2008	ASR_2007	ASR_2006	ASR_2005	ASR_2004	ASR_2003	ASR_2002	ASR_2001	ASR_2000	ASR_1999	ASR_1998	ASR_1997	ASR_1996	ASR_1995	DATATAB_FED_NUMERATOR	FED_NUM_2008	FED_NUM_2007	FED_NUM_2006	FED_NUM_2005	FED_NUM_2004	FED_NUM_2003	FED_NUM_2002	FED_NUM_2001	FED_NUM_2000	FED_NUM_1999	FED_NUM_1998	FED_NUM_1997	FED_NUM_1996	FED_NUM_1995	DATATAB_FED_DENOMINATOR	FED_DEN_2008	FED_DEN_2007	FED_DEN_2006	FED_DEN_2005	FED_DEN_2004	FED_DEN_2003	FED_DEN_2002	FED_DEN_2001	FED_DEN_2000	FED_DEN_1999	FED_DEN_1998	FED_DEN_1997	FED_DEN_1996	FED_DEN_1995	DATATAB_ASR_NUMERATOR	ASR_NUM_2008	ASR_NUM_2007	ASR_NUM_2006	ASR_NUM_2005	ASR_NUM_2004	ASR_NUM_2003	ASR_NUM_2002	ASR_NUM_2001	ASR_NUM_2000	ASR_NUM_1999	ASR_NUM_1998	ASR_NUM_1997	ASR_NUM_1996	ASR_NUM_1995	DATATAB_ASR_DENOMINATOR	ASR_DEN_2008	ASR_DEN_2007	ASR_DEN_2006	ASR_DEN_2005	ASR_DEN_2004	ASR_DEN_2003	ASR_DEN_2002	ASR_DEN_2001	ASR_DEN_2000	ASR_DEN_1999	ASR_DEN_1998	ASR_DEN_1997	ASR_DEN_1996	ASR_DEN_1995
MBA	 	51	50	51	50	50	48	55	51	48	50	52	48	48	48	 	72	71	69	69	70	68	68	69	67	70	54	49	49	48	 	695	684	618	557	530	490	526	462	455	421	441	368	443	350	 	1350	1360	1206	1109	1065	1028	961	912	942	834	847	766	923	734	 	1943	1830	1737	1551	1593	1406	1379	1282	1257	1189	441	368	443	350	 	2703	2575	2519	2238	2266	2053	2026	1871	1888	1705	813	758	912	727
MBB	 	45	47	44	42	45	43	47	46	46	44	44	44	43	43	 	59	59	57	57	60	56	59	61	56	55	48	44	43	44	 	360	378	328	292	310	279	298	318	327	305	311	273	322	281	 	795	803	745	692	686	650	635	692	718	686	708	619	752	650	 	894	841	813	742	766	656	663	714	684	585	323	274	323	287	 	1512	1431	1437	1295	1279	1163	1128	1161	1212	1064	674	623	754	657
MFB	 	39	40	40	44	41	40	42	44	44	45	44	45	40	45	 	52	53	50	56	54	53	53	53	54	55	46	45	40	45	 	1327	1360	1195	1201	1073	845	946	915	985	988	981	863	833	810	 	3391	3365	2968	2713	2634	2123	2240	2081	2254	2199	2220	1932	2092	1814	 	2586	2542	2343	2342	2142	1994	1943	1919	1926	1902	985	863	833	810	 	4989	4812	4647	4202	3961	3734	3669	3654	3578	3489	2120	1932	2092	1814
MFE	 	88	89	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	88	100	100	-99	100	63	63	100	71	88	-99	-99	-99	-99	 	7	8	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	8	9	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	7	14	7	-99	4	5	5	5	5	7	-99	-99	-99	-99	 	8	14	7	-99	4	8	8	5	7	8	-99	-99	-99	-99
MGO	 	59	56	54	58	58	53	56	54	52	51	50	36	38	0	 	78	77	73	73	74	73	71	73	66	67	53	42	38	17	 	251	229	210	189	198	169	152	149	126	110	119	4	3	0	 	427	407	391	326	342	318	272	277	241	214	239	11	8	4	 	466	436	445	394	423	373	351	365	281	261	119	5	3	1	 	595	564	606	538	573	513	491	498	424	391	225	12	8	6
MGY	 	-99	-99	-99	-99	-99	-99	33	-99	-99	-99	50	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	75	50	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	2	-99	-99	-99	2	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	6	-99	-99	-99	4	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	3	2	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	4	4	-99	-99	-99
MIH	 	73	67	63	51	44	54	50	51	50	53	58	58	55	40	 	83	84	79	79	72	78	76	86	77	67	71	66	68	62	 	65	68	70	42	45	56	57	53	56	54	68	61	59	31	 	89	101	112	83	102	103	115	103	113	101	118	106	107	78	 	98	128	116	95	102	99	123	114	110	113	84	72	64	43	 	118	152	147	120	141	127	161	133	143	169	119	109	94	69
MLA	 	60	52	48	59	54	56	52	59	62	60	49	-99	-99	-99	 	73	78	67	75	76	77	76	72	80	71	59	-99	-99	-99	 	92	102	85	92	74	67	48	68	50	47	49	-99	-99	-99	 	153	196	177	155	137	119	92	115	81	78	100	-99	-99	-99	 	263	262	202	230	197	161	149	148	134	117	50	-99	-99	-99	 	360	334	301	307	259	209	196	206	168	165	85	-99	-99	-99
MRI	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	 	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
MSK	 	-99	62	71	43	57	-99	43	-99	75	-99	67	-99	-99	-99	 	86	91	94	78	92	71	90	86	92	75	60	-99	-99	-99	 	-99	8	5	3	4	-99	3	-99	3	-99	6	-99	-99	-99	 	-99	13	7	7	7	-99	7	-99	4	-99	9	-99	-99	-99	 	6	10	16	7	11	5	18	19	11	12	6	-99	-99	-99	 	7	11	17	9	12	7	20	22	12	16	10	-99	-99	-99
MSO	 	49	52	53	52	52	53	49	52	51	51	53	56	78	67	 	69	74	68	74	71	74	69	69	67	68	56	71	88	100	 	436	508	449	412	402	329	320	302	280	285	281	5	7	10	 	883	971	848	786	772	625	658	579	554	562	535	9	9	15	 	997	1020	943	897	860	764	720	687	656	667	281	5	7	10	 	1435	1376	1381	1211	1205	1037	1048	990	985	986	501	7	8	10
MSW	 	64	56	63	62	63	50	64	59	57	63	57	-99	-99	-99	 	78	78	75	79	75	71	82	79	72	75	59	0	-99	20	 	122	127	100	70	76	56	62	55	51	77	51	-99	-99	-99	 	191	226	158	113	121	111	97	93	89	123	90	-99	-99	-99	 	248	226	202	171	159	119	159	148	137	177	51	0	-99	1	 	319	290	271	216	211	167	195	188	189	235	87	4	-99	5
MTE	 	63	64	53	49	60	56	57	59	66	58	51	-99	-99	-99	 	84	82	80	77	78	79	77	78	80	76	56	-99	-99	-99	 	167	171	130	86	128	91	104	102	105	100	87	-99	-99	-99	 	263	268	247	174	212	162	181	173	158	172	169	-99	-99	-99	 	355	336	295	238	276	208	234	223	233	271	87	-99	-99	-99	 	423	409	371	309	354	262	302	286	293	357	156	-99	-99	-99
MTR	 	55	55	53	53	51	53	56	53	57	57	56	49	51	47	 	73	70	68	71	73	71	74	69	71	68	59	49	51	47	 	550	567	441	366	363	338	388	292	337	331	300	238	257	199	 	998	1037	830	687	711	642	699	552	588	585	533	489	503	424	 	1220	1156	1000	941	991	781	954	799	852	741	305	240	259	200	 	1673	1660	1474	1334	1358	1098	1287	1156	1202	1088	516	492	506	426
MVB	 	49	54	68	61	45	41	30	42	38	67	41	-99	-99	-99	 	65	72	73	75	68	70	75	68	69	83	41	-99	-99	-99	 	21	33	26	23	17	9	10	14	9	14	9	-99	-99	-99	 	43	61	38	38	38	22	33	33	24	21	22	-99	-99	-99	 	36	43	44	36	26	21	12	15	22	33	9	-99	-99	-99	 	55	60	60	48	38	30	16	22	32	40	22	-99	-99	-99
