DATATAB_SCHOOL_INFO	SCL_UNITID	SCL_NAME	SCL_DIVISION	SCL_SUBDIVISION	SCL_CONFERENCE	SCL_HBCU	SCL_PRIVATE	DATATAB_4YR_OVERALL_FED_SA	FED_N_SA	FED_RATE_SA	DATATAB_4YR_OVERALL_GSR_SA	ASR_N_SA	ASR_SA	DATATAB_4YR_GENDER_FED_SA	FED_N_MALE_SA	FED_RATE_MALE_SA	FED_N_FEMALE_SA	FED_RATE_FEMALE_SA	DATATAB_4YR_GENDER_GSR_SA	ASR_N_MALE_SA	ASR_MALE_SA	ASR_N_FEMALE_SA	ASR_FEMALE_SA	DATATAB_4YR_RACE_FED_SA	FED_RATE_AA_SA	FED_RATE_OTHER_SA	FED_RATE_WH_SA	DATATAB_4YR_RACE_GSR_SA	ASR_AA_SA	ASR_OTHER_SA	ASR_WH_SA	DATATAB_4YR_GENDERRACE_FED_SA	FED_RATE_MALE_AA_SA	FED_RATE_MALE_OTHER_SA	FED_RATE_MALE_WH_SA	FED_RATE_FEMALE_AA_SA	FED_RATE_FEMALE_OTHER_SA	FED_RATE_FEMALE_WH_SA	DATATAB_4YR_GENDERRACE_GSR_SA	ASR_MALE_AA_SA	ASR_MALE_OTHER_SA	ASR_MALE_WH_SA	ASR_FEMALE_AA_SA	ASR_FEMALE_OTHER_SA	ASR_FEMALE_WH_SA	DATATAB_SINGLEYR_OVERALL_FED_SA	FED_N_2008_SA	FED_N_2007_SA	FED_N_2006_SA	FED_N_2005_SA	FED_N_2004_SA	FED_N_2003_SA	FED_N_2002_SA	FED_N_2001_SA	FED_N_2000_SA	FED_N_1999_SA	FED_N_1998_SA	FED_N_1997_SA	FED_N_1996_SA	FED_N_1995_SA	FED_RATE_2008_SA	FED_RATE_2007_SA	FED_RATE_2006_SA	FED_RATE_2005_SA	FED_RATE_2004_SA	FED_RATE_2003_SA	FED_RATE_2002_SA	FED_RATE_2001_SA	FED_RATE_2000_SA	FED_RATE_1999_SA	FED_RATE_1998_SA	FED_RATE_1997_SA	FED_RATE_1996_SA	FED_RATE_1995_SA	DATATAB_SINGLEYR_OVERALL_GSR_SA	ASR_N_2008_SA	ASR_N_2007_SA	ASR_N_2006_SA	ASR_N_2005_SA	ASR_N_2004_SA	ASR_N_2003_SA	ASR_N_2002_SA	ASR_N_2001_SA	ASR_N_2000_SA	ASR_N_1999_SA	ASR_N_1998_SA	ASR_N_1997_SA	ASR_N_1996_SA	ASR_N_1995_SA	ASR_2008_SA	ASR_2007_SA	ASR_2006_SA	ASR_2005_SA	ASR_2004_SA	ASR_2003_SA	ASR_2002_SA	ASR_2001_SA	ASR_2000_SA	ASR_1999_SA	ASR_1998_SA	ASR_1997_SA	ASR_1996_SA	ASR_1995_SA	DATATAB_SINGLEYR_GENDER_FED_SA	FED_RATE_MALE_2008_SA	FED_RATE_MALE_2007_SA	FED_RATE_MALE_2006_SA	FED_RATE_MALE_2005_SA	FED_RATE_MALE_2004_SA	FED_RATE_MALE_2003_SA	FED_RATE_MALE_2002_SA	FED_RATE_MALE_2001_SA	FED_RATE_MALE_2000_SA	FED_RATE_MALE_1999_SA	FED_RATE_MALE_1998_SA	FED_RATE_MALE_1997_SA	FED_RATE_MALE_1996_SA	FED_RATE_MALE_1995_SA	FED_RATE_FEMALE_2008_SA	FED_RATE_FEMALE_2007_SA	FED_RATE_FEMALE_2006_SA	FED_RATE_FEMALE_2005_SA	FED_RATE_FEMALE_2004_SA	FED_RATE_FEMALE_2003_SA	FED_RATE_FEMALE_2002_SA	FED_RATE_FEMALE_2001_SA	FED_RATE_FEMALE_2000_SA	FED_RATE_FEMALE_1999_SA	FED_RATE_FEMALE_1998_SA	FED_RATE_FEMALE_1997_SA	FED_RATE_FEMALE_1996_SA	FED_RATE_FEMALE_1995_SA	DATATAB_SINGLEYR_GENDER_GSR_SA	ASR_MALE_2008_SA	ASR_MALE_2007_SA	ASR_MALE_2006_SA	ASR_MALE_2005_SA	ASR_MALE_2004_SA	ASR_MALE_2003_SA	ASR_MALE_2002_SA	ASR_MALE_2001_SA	ASR_MALE_2000_SA	ASR_MALE_1999_SA	ASR_MALE_1998_SA	ASR_MALE_1997_SA	ASR_MALE_1996_SA	ASR_MALE_1995_SA	ASR_FEMALE_2008_SA	ASR_FEMALE_2007_SA	ASR_FEMALE_2006_SA	ASR_FEMALE_2005_SA	ASR_FEMALE_2004_SA	ASR_FEMALE_2003_SA	ASR_FEMALE_2002_SA	ASR_FEMALE_2001_SA	ASR_FEMALE_2000_SA	ASR_FEMALE_1999_SA	ASR_FEMALE_1998_SA	ASR_FEMALE_1997_SA	ASR_FEMALE_1996_SA	ASR_FEMALE_1995_SA	DATATAB_4YR_OVERALL_FED_SB	FED_N_SB	FED_RATE_SB	DATATAB_4YR_GENDER_FED_SB	FED_N_MALE_SB	FED_RATE_MALE_SB	FED_N_FEMALE_SB	FED_RATE_FEMALE_SB	DATATAB_4YR_RACE_FED_SB	FED_RATE_AA_SB	FED_RATE_OTHER_SB	FED_RATE_WH_SB	DATATAB_4YR_GENDERRACE_FED_SB	FED_RATE_MALE_AA_SB	FED_RATE_MALE_OTHER_SB	FED_RATE_MALE_WH_SB	FED_RATE_FEMALE_AA_SB	FED_RATE_FEMALE_OTHER_SB	FED_RATE_FEMALE_WH_SB	DATATAB_SINGLEYR_OVERALL_FED_SB	FED_RATE_2008_SB	FED_RATE_2007_SB	FED_RATE_2006_SB	FED_RATE_2005_SB	FED_RATE_2004_SB	FED_RATE_2003_SB	FED_RATE_2002_SB	FED_RATE_2001_SB	FED_RATE_2000_SB	FED_RATE_1999_SB	FED_RATE_1998_SB	FED_RATE_1997_SB	FED_RATE_1996_SB	FED_RATE_1995_SB	DATATAB_SINGLEYR_GENDER_FED_SB	FED_RATE_MALE_2008_SB	FED_RATE_MALE_2007_SB	FED_RATE_MALE_2006_SB	FED_RATE_MALE_2005_SB	FED_RATE_MALE_2004_SB	FED_RATE_MALE_2003_SB	FED_RATE_MALE_2002_SB	FED_RATE_MALE_2001_SB	FED_RATE_MALE_2000_SB	FED_RATE_MALE_1999_SB	FED_RATE_MALE_1998_SB	FED_RATE_MALE_1997_SB	FED_RATE_MALE_1996_SB	FED_RATE_MALE_1995_SB	FED_RATE_FEMALE_2008_SB	FED_RATE_FEMALE_2007_SB	FED_RATE_FEMALE_2006_SB	FED_RATE_FEMALE_2005_SB	FED_RATE_FEMALE_2004_SB	FED_RATE_FEMALE_2003_SB	FED_RATE_FEMALE_2002_SB	FED_RATE_FEMALE_2001_SB	FED_RATE_FEMALE_2000_SB	FED_RATE_FEMALE_1999_SB	FED_RATE_FEMALE_1998_SB	FED_RATE_FEMALE_1997_SB	FED_RATE_FEMALE_1996_SB	FED_RATE_FEMALE_1995_SB
 	100706	University of Alabama in Huntsville	2	0	Gulf South Conference	2	0	 	239	60	 	276	72	 	128	59	111	61	 	155	69	121	76	 	45	64	61	 	48	71	76	 	71	68	57	31	55	67	 	50	69	72	47	80	80	 	56	64	68	51	55	55	51	33	52	38	39	32	38	43	61	64	60	55	56	67	73	52	62	61	44	50	53	63	 	62	81	71	62	57	63	70	38	58	55	43	32	38	47	69	79	76	61	74	79	74	68	78	75	49	50	53	70	 	65	53	61	61	46	63	58	47	57	57	42	50	50	48	58	79	59	48	67	71	85	56	66	65	45	50	55	88	 	66	71	76	62	63	73	68	58	77	75	52	50	50	61	73	87	77	61	85	88	81	86	78	74	45	50	55	88	 	2951	47	 	1595	43	1356	52	 	35	57	47	 	29	55	42	39	60	54	 	46	48	47	45	44	48	48	44	44	44	45	44	36	41	 	43	43	43	40	40	45	45	41	42	40	39	40	32	36	50	54	52	52	48	50	51	47	46	49	50	48	41	47
 	101587	University of West Alabama	2	0	Gulf South Conference	2	0	 	165	51	 	316	56	 	107	50	58	53	 	229	49	87	74	 	46	50	54	 	36	71	70	 	42	67	53	62	25	54	 	30	71	67	65	71	77	 	40	34	51	40	45	60	30	37	47	32	37	32	31	23	78	29	47	48	22	13	37	35	23	38	38	47	35	30	 	82	51	45	138	83	104	75	79	37	24	33	32	31	23	77	49	87	36	45	38	44	23	49	100	42	47	35	30	 	76	32	44	46	19	8	33	32	21	24	30	25	26	13	80	25	53	50	38	24	42	44	38	86	60	69	100	63	 	69	41	84	32	39	32	41	21	41	100	33	25	26	13	93	63	93	50	75	54	53	36	100	100	67	69	100	63	 	1356	32	 	641	25	715	39	 	29	36	35	 	21	39	27	35	33	43	 	33	32	34	30	31	42	32	21	27	31	35	26	30	30	 	26	22	29	22	25	31	30	17	16	22	26	20	24	26	38	40	40	36	39	49	34	27	37	39	42	32	35	34
 	101675	Miles College	2	0	Southern Intercol. Ath. Conf.	1	1	 	74	46	 	108	57	 	49	43	25	52	 	70	50	38	71	 	46	-99	50	 	56	-99	71	 	43	-99	33	50	-99	100	 	48	-99	75	71	-99	67	 	28	11	17	18	10	24	23	36	164	27	112	8	21	109	46	36	47	50	60	25	9	31	36	44	92	0	29	12	 	41	31	20	16	6	25	11	86	189	27	108	8	21	109	66	52	45	63	100	48	18	26	35	44	95	0	29	12	 	33	33	50	55	67	19	15	79	31	40	90	0	33	13	70	40	33	43	57	38	0	0	46	50	96	0	22	7	 	46	52	50	55	100	50	40	52	30	40	92	0	33	13	94	50	33	80	100	47	0	0	46	50	100	0	22	7	 	834	22	 	472	19	362	27	 	22	17	54	 	19	10	44	26	33	75	 	48	76	15	20	25	21	18	0	50	69	0	71	73	82	 	31	72	11	16	13	17	13	0	32	41	0	67	67	78	76	100	20	24	39	24	23	0	68	93	0	76	79	85
 	101709	University of Montevallo	2	0	Peach Belt Conference	2	0	 	126	62	 	227	67	 	50	60	76	63	 	122	65	105	69	 	43	70	62	 	45	61	74	 	33	63	62	50	100	63	 	39	74	74	62	33	73	 	28	37	33	28	24	24	25	27	26	21	32	22	23	27	75	57	67	50	71	38	64	44	54	48	56	36	35	70	 	50	64	64	49	40	50	47	35	49	48	32	22	23	27	74	66	69	57	73	58	79	71	73	54	56	36	35	70	 	71	46	60	60	91	20	83	41	42	38	60	46	50	60	82	63	70	44	54	50	58	50	64	63	53	22	11	76	 	72	60	73	55	72	46	68	67	71	53	60	46	50	60	78	72	66	60	73	69	88	82	80	57	53	22	11	76	 	1944	45	 	619	40	1325	47	 	44	44	45	 	32	41	40	48	46	47	 	44	45	47	43	41	45	52	47	41	45	43	42	43	47	 	39	41	38	40	35	35	40	40	39	40	40	41	39	32	47	47	51	45	44	49	57	51	42	48	45	43	45	54
 	101879	University of North Alabama	2	0	Gulf South Conference	2	0	 	219	44	 	322	63	 	133	36	86	56	 	230	53	92	87	 	29	45	49	 	38	71	77	 	28	33	41	40	63	56	 	35	61	69	75	90	88	 	66	61	41	51	67	38	40	43	36	40	31	25	34	17	50	39	39	45	28	39	38	40	47	43	61	52	56	35	 	101	97	54	70	64	56	64	64	42	75	31	25	34	17	66	49	74	69	55	64	48	47	67	60	61	52	56	35	 	42	28	31	43	21	26	37	34	38	39	53	36	57	40	61	59	53	48	39	53	38	50	60	47	69	64	55	29	 	55	38	70	60	48	58	42	35	52	49	53	36	57	40	91	81	86	90	72	75	71	100	93	86	69	64	55	29	 	4012	34	 	1820	26	2192	41	 	22	23	41	 	14	17	34	29	30	45	 	39	32	32	33	33	39	41	40	38	38	37	38	37	38	 	31	24	23	27	24	31	32	28	29	30	28	28	33	33	46	39	40	38	41	44	47	49	44	43	42	45	41	41
 	102270	Stillman College	2	0	Southern Intercol. Ath. Conf.	1	1	 	105	53	 	145	61	 	77	48	28	68	 	100	48	45	91	 	54	40	60	 	61	50	73	 	48	33	60	71	50	-99	 	46	25	71	90	100	100	 	-99	46	30	29	-99	28	-99	-99	-99	-99	-99	-99	-99	-99	-99	63	57	34	-99	57	-99	-99	-99	-99	-99	-99	-99	-99	 	25	53	26	41	-99	28	-99	13	30	70	-99	-99	-99	-99	60	72	73	41	-99	57	-99	0	90	41	-99	-99	-99	-99	 	-99	59	56	26	-99	58	-99	-99	-99	-99	-99	-99	-99	-99	-99	71	60	67	-99	56	-99	-99	-99	-99	-99	-99	-99	-99	 	40	60	67	24	-99	58	-99	0	86	41	-99	-99	-99	-99	90	94	100	83	-99	56	-99	0	100	-99	-99	-99	-99	-99	 	1431	19	 	699	17	732	21	 	19	16	28	 	17	15	28	21	16	29	 	100	12	25	34	62	21	19	23	19	52	16	27	88	-99	 	100	13	18	24	40	20	16	14	11	47	18	19	84	-99	-99	11	32	50	87	21	23	31	29	59	15	30	90	-99
 	102377	Tuskegee University	2	0	Southern Intercol. Ath. Conf.	1	1	 	139	41	 	208	59	 	103	38	36	50	 	162	51	46	87	 	41	33	-99	 	59	60	-99	 	38	33	-99	50	-99	-99	 	51	60	-99	87	-99	-99	 	29	36	47	27	31	17	37	30	12	29	13	16	10	24	45	28	49	41	48	76	41	57	33	45	54	63	40	50	 	68	48	52	40	64	52	65	53	27	39	13	16	10	24	60	46	71	58	61	79	63	70	44	56	54	63	40	50	 	40	23	46	41	48	70	33	54	27	42	55	60	57	42	75	40	58	40	50	86	71	67	100	67	50	67	0	80	 	49	39	68	50	55	79	53	63	38	50	55	60	57	42	89	86	83	88	80	79	94	92	100	86	50	67	0	80	 	2935	44	 	1299	38	1636	48	 	44	39	0	 	39	39	0	49	39	0	 	43	43	46	43	46	41	46	49	50	42	48	51	50	45	 	42	36	40	37	41	33	33	39	40	32	38	40	43	35	44	49	50	49	51	48	55	56	57	50	54	56	54	52
 	102553	University of Alaska Anchorage	2	0	Great Northwest Athletic Conference	2	0	 	122	56	 	195	61	 	61	52	61	59	 	89	60	106	62	 	40	55	58	 	27	66	67	 	40	57	50	40	53	65	 	27	70	59	27	58	72	 	33	31	28	30	31	27	18	23	24	17	16	39	23	33	67	55	50	50	23	30	61	30	58	41	38	31	52	48	 	50	53	40	52	50	39	45	35	38	33	28	43	29	48	68	57	53	65	40	41	58	51	74	58	64	40	59	65	 	55	48	69	44	27	40	55	20	54	50	33	19	25	42	73	70	33	57	19	24	71	38	64	29	50	54	82	67	 	57	50	58	79	36	46	58	50	83	57	44	32	40	59	78	64	48	58	44	38	57	52	65	58	92	58	79	79	 	3703	27	 	1539	22	2164	30	 	13	20	31	 	13	18	26	14	22	35	 	28	28	26	25	25	27	24	22	25	26	22	20	24	0	 	22	24	21	24	21	19	16	21	22	22	21	19	14	0	32	31	29	26	28	31	30	23	26	28	22	22	30	0
 	102614	University of Alaska Fairbanks	2	0	Great Northwest Athletic Conference	2	0	 	103	50	 	148	58	 	54	44	49	57	 	81	53	67	64	 	11	67	48	 	22	66	66	 	0	65	38	50	71	55	 	15	68	64	43	60	68	 	21	27	29	26	21	15	34	37	19	12	45	26	22	4	57	44	52	50	48	27	38	43	84	42	58	54	50	75	 	35	31	45	37	29	26	34	36	27	12	45	26	22	4	66	52	53	62	59	38	76	75	78	42	58	54	50	75	 	62	33	59	17	41	43	43	39	85	43	55	55	47	100	50	53	42	79	75	13	17	47	83	40	64	50	60	67	 	67	33	61	43	47	36	67	87	74	43	55	55	47	100	64	77	41	74	80	40	92	67	88	40	64	50	60	67	 	2205	32	 	1080	28	1125	35	 	15	22	37	 	5	22	31	28	22	42	 	42	32	29	27	29	23	19	22	29	23	27	24	25	2	 	39	28	28	21	28	24	17	21	29	21	20	20	23	1	45	37	30	32	31	23	21	23	28	26	35	28	28	3
 	104717	Grand Canyon University	2	0	Western Athletic Conference	2	1	 	266	41	 	359	60	 	158	35	108	50	 	204	52	155	70	 	50	31	49	 	59	54	66	 	25	30	40	100	34	61	 	56	47	58	63	66	74	 	83	50	81	52	75	22	-99	15	21	8	16	-99	20	12	42	40	38	44	41	68	-99	40	24	50	44	-99	35	58	 	119	78	114	48	38	45	13	61	68	8	16	-99	20	12	72	63	48	50	79	73	62	51	56	50	44	-99	35	58	 	39	17	36	38	30	75	0	33	29	60	25	-99	29	43	48	59	41	56	58	64	0	42	14	33	50	-99	38	80	 	65	46	45	45	71	66	64	50	63	60	25	-99	29	43	82	79	52	59	86	88	50	52	11	33	50	-99	38	80	 	513	30	 	222	28	291	31	 	24	25	50	 	14	24	46	28	25	52	 	28	30	31	31	29	42	49	46	51	49	45	-99	49	42	 	27	24	35	29	27	35	52	41	51	37	46	-99	43	32	29	34	29	32	31	45	48	48	51	54	44	-99	52	47
