unitid,athletic_revenues,royalties,tv_revenue,ticket_sales,subsidy,direct_state_govt_support,ncaa_distributions,indirect_facil_admin_support,endowments,other_revenues,athletic_expenses,student_fees,net_revenue
100751,153234273,15471366,13662940,37219343,5997100,0,23282201,0,10736649,71264263,129300462,0,23933811
100858,113716004,5275554,6357837,29833441,4384800,0,23410336,0,1208553,50811873,127340380,4384800,-13624376
104151,74729269,10148054,0,12885134,10073205,0,22958453,1531535,213739,18664423,74553104,0,176165
104179,99911034,6308525,0,14931449,7901134,0,22106806,1142715,501027,48663120,95524260,0,4386774
106397,96793972,11813916,0,34284318,1936405,0,21666355,0,2393611,27092978,94745423,0,2048549
110635,90262142,9468564,0,14219724,4982173,0,22593502,0,13358799,38998179,76446271,1444374,13815871
110662,86426780,11652329,17536463,17807674,2711272,0,8064339,0,3948351,46191166,86426780,2651272,0
126614,64226758,3996973,0,12062260,12209473,0,21461121,1758282,609286,14496931,64303100,1519708,-76342
129020,71519433,12599042,1125435,10699311,27203031,0,11584048,0,149396,9434001,71396255,9929474,123178
134097,104774474,14873220,360000,25550753,7980366,0,20760441,0,3682634,35609694,102656275,7980366,2118199
134130,124611305,9229339,8433500,22976195,4308442,1870307,20638137,0,10055552,67459192,113995897,2438135,10615408
137351,48383928,4922835,477879,4980088,21355970,320956,11756975,0,231934,5368060,46829647,16450523,1554281
139755,68469538,4846584,3487303,10900497,7107777,0,19060758,0,3881007,26553922,68818267,5073873,-348729
139959,103495587,8560268,5669380,22472925,3274712,0,22225911,0,6427492,46961771,96560956,3274712,6934631
145637,80848569,5052695,1676715,17005685,3927372,0,29290831,0,1854737,25571986,83773651,3046935,-2925082
151351,84668779,10519810,0,17029219,3008362,0,30079247,3008362,0,24032141,80386732,0,4282047
153603,68170381,862547,3691350,14418164,1957396,0,24376696,0,368790,26555578,67967712,1957396,202669
153658,105958954,8592992,1500000,25890094,683917,0,28960390,0,3128431,41831561,102278847,683917,3680107
155317,97681066,5750909,6855577,20083624,2564374,0,22369558,0,4510182,46912601,90056511,1080061,7624555
157085,96685489,5900837,8864862,32793626,861548,0,22041506,0,540597,35087972,96272431,861548,413058
157289,88745348,4956633,0,26928635,7768599,0,10461106,3720686,268477,38630375,88174474,1960346,570874
159391,133679256,3437777,6984591,37686975,0,0,22886852,0,1062725,69667652,127630312,0,6048944
163286,73434869,9038376,0,13442584,18121113,0,19038856,0,621255,13793940,72952894,11315001,481975
170976,157899820,22123931,0,53269056,256316,0,29272753,249485,2977719,52977764,144861192,0,13038628
