VARIABLE NAME	API data type	NAME OF DATA ELEMENT
UNITID	integer	Unit ID for institution
OPEID	string	8-digit OPE ID for institution
OPEID6	string	6-digit OPE ID for institution
INSTNM	autocomplete	Institution name
CITY	autocomplete	City
STABBR	string	State postcode
ZIP	string	ZIP code
ACCREDAGENCY	string	Accreditor for institution
INSTURL	string	URL for institution's homepage
NPCURL	string	URL for institution's net price calculator
SCH_DEG	integer	Predominant degree awarded (recoded 0s and 4s)
HCM2	integer	Schools that are on Heightened Cash Monitoring 2 by the Department of Education
MAIN	integer	Flag for main campus
NUMBRANCH	integer	Number of branch campuses
PREDDEG	integer	Predominant undergraduate degree awarded  0 Not classified  1 Predominantly certificate-degree granting  2 Predominantly associate's-degree granting  3 Predominantly bachelor's-degree granting  4 Entirely graduate-degree granting
HIGHDEG	integer	Highest degree awarded  0 Non-degree-granting  1 Certificate degree  2 Associate degree  3 Bachelor's degree  4 Graduate degree
CONTROL	integer	Control of institution (IPEDS)
ST_FIPS	integer	FIPS code for state
REGION	integer	Region (IPEDS)
LOCALE	integer	Locale of institution
LOCALE2	integer	Degree of urbanization of institution
LATITUDE	float	Latitude
LONGITUDE	float	Longitude
CCBASIC	integer	Carnegie Classification -- basic
CCUGPROF	integer	Carnegie Classification -- undergraduate profile
CCSIZSET	integer	Carnegie Classification -- size and setting
HBCU	integer	Flag for Historically Black College and University
PBI	integer	Flag for predominantly black institution
ANNHI	integer	Flag for Alaska Native Native Hawaiian serving institution
TRIBAL	integer	Flag for tribal college and university
AANAPII	integer	Flag for Asian American Native American Pacific Islander-serving institution
HSI	integer	Flag for Hispanic-serving institution
NANTI	integer	Flag for Native American non-tribal institution
MENONLY	integer	Flag for men-only college
WOMENONLY	integer	Flag for women-only college
RELAFFIL	integer	Religous affiliation of the institution
ADM_RATE	float	Admission rate
ADM_RATE_ALL	float	Admission rate for all campuses rolled up to the 6-digit OPE ID
SATVR25	float	25th percentile of SAT scores at the institution (critical reading)
SATVR75	float	75th percentile of SAT scores at the institution (critical reading)
SATMT25	float	25th percentile of SAT scores at the institution (math)
SATMT75	float	75th percentile of SAT scores at the institution (math)
SATWR25	float	25th percentile of SAT scores at the institution (writing)
SATWR75	float	75th percentile of SAT scores at the institution (writing)
SATVRMID	float	Midpoint of SAT scores at the institution (critical reading)
SATMTMID	float	Midpoint of SAT scores at the institution (math)
SATWRMID	float	Midpoint of SAT scores at the institution (writing)
ACTCM25	float	25th percentile of the ACT cumulative score
ACTCM75	float	75th percentile of the ACT cumulative score
ACTEN25	float	25th percentile of the ACT English score
ACTEN75	float	75th percentile of the ACT English score
ACTMT25	float	25th percentile of the ACT math score
ACTMT75	float	75th percentile of the ACT math score
ACTWR25	float	25th percentile of the ACT writing score
ACTWR75	float	75th percentile of the ACT writing score
ACTCMMID	float	Midpoint of the ACT cumulative score
ACTENMID	float	Midpoint of the ACT English score
ACTMTMID	float	Midpoint of the ACT math score
ACTWRMID	float	Midpoint of the ACT writing score
SAT_AVG	float	Average SAT equivalent score of students admitted
SAT_AVG_ALL	float	Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID
PCIP01	float	Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.
PCIP03	float	Percentage of degrees awarded in Natural Resources And Conservation.
PCIP04	float	Percentage of degrees awarded in Architecture And Related Services.
PCIP05	float	Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.
PCIP09	float	Percentage of degrees awarded in Communication, Journalism, And Related Programs.
PCIP10	float	Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.
PCIP11	float	Percentage of degrees awarded in Computer And Information Sciences And Support Services.
PCIP12	float	Percentage of degrees awarded in Personal And Culinary Services.
PCIP13	float	Percentage of degrees awarded in Education.
PCIP14	float	Percentage of degrees awarded in Engineering.
PCIP15	float	Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.
PCIP16	float	Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.
PCIP19	float	Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.
PCIP22	float	Percentage of degrees awarded in Legal Professions And Studies.
PCIP23	float	Percentage of degrees awarded in English Language And Literature/Letters.
PCIP24	float	Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.
PCIP25	float	Percentage of degrees awarded in Library Science.
PCIP26	float	Percentage of degrees awarded in Biological And Biomedical Sciences.
PCIP27	float	Percentage of degrees awarded in Mathematics And Statistics.
PCIP29	float	Percentage of degrees awarded in Military Technologies And Applied Sciences.
PCIP30	float	Percentage of degrees awarded in Multi/Interdisciplinary Studies.
PCIP31	float	Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.
PCIP38	float	Percentage of degrees awarded in Philosophy And Religious Studies.
PCIP39	float	Percentage of degrees awarded in Theology And Religious Vocations.
PCIP40	float	Percentage of degrees awarded in Physical Sciences.
PCIP41	float	Percentage of degrees awarded in Science Technologies/Technicians.
PCIP42	float	Percentage of degrees awarded in Psychology.
PCIP43	float	Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.
PCIP44	float	Percentage of degrees awarded in Public Administration And Social Service Professions.
PCIP45	float	Percentage of degrees awarded in Social Sciences.
PCIP46	float	Percentage of degrees awarded in Construction Trades.
PCIP47	float	Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.
PCIP48	float	Percentage of degrees awarded in Precision Production.
PCIP49	float	Percentage of degrees awarded in Transportation And Materials Moving.
PCIP50	float	Percentage of degrees awarded in Visual And Performing Arts.
PCIP51	float	Percentage of degrees awarded in Health Professions And Related Programs.
PCIP52	float	Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.
PCIP54	float	Percentage of degrees awarded in History.
CIP01CERT1	integer	Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.
CIP01CERT2	integer	Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.
CIP01ASSOC	integer	Associate degree in Agriculture, Agriculture Operations, And Related Sciences.
CIP01CERT4	integer	Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.
CIP01BACHL	integer	Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.
CIP03CERT1	integer	Certificate of less than one academic year in Natural Resources And Conservation.
CIP03CERT2	integer	Certificate of at least one but less than two academic years in Natural Resources And Conservation.
CIP03ASSOC	integer	Associate degree in Natural Resources And Conservation.
CIP03CERT4	integer	Award of at least two but less than four academic years in Natural Resources And Conservation.
CIP03BACHL	integer	Bachelor's degree in Natural Resources And Conservation.
