UNITID,UG,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
100654,NA,9096,16596,6892,7437,NA,NA
100663,NA,7510,17062,9957,17920,392284979,424547661
100690,NA,6900,6900,3430,5532,174805,174804
100706,NA,9158,21232,9302,10211,69929806,74366851
100724,NA,8720,15656,6609,7618,73546541,86468050
100751,NA,9826,24950,9667,10239,617611309,667980131
100760,NA,3491,6576,5815,6847,340265,338983
100812,NA,NA,NA,7711,6446,2365949,2777919
100830,NA,9080,19640,7255,6837,43933312,47424072
100858,NA,10200,27384,9487,11704,526128048,593270763
100937,NA,31708,31708,7451,10658,50042970,53921439
101028,NA,4320,7710,5878,4207,51020,51184
101073,NA,10320,10320,5812,6755,NA,NA
101116,NA,16360,16360,4517,6605,NA,NA
101143,NA,3976,7140,6309,5522,899856,917061
101161,NA,4260,7650,6119,4157,NA,NA
101189,NA,18750,18750,6485,5826,18015943,19111352
101240,NA,3168,5880,6185,5831,3019474,3223466
101277,NA,NA,NA,NA,1961,NA,NA
101286,NA,3960,7350,5479,6181,118895,124181
101295,NA,4260,7650,6018,5159,NA,NA
101301,NA,3960,7350,5134,5861,NA,NA
101365,NA,12790,12790,5065,5800,NA,NA
101435,NA,24550,24550,5772,6435,44721770,46921408
101453,NA,9792,9792,4346,9085,8515507,9141335
101462,NA,3384,6096,5583,4944,NA,NA
101471,NA,4752,4752,5947,14186,NA,NA
101480,NA,7092,13884,6801,7283,11256873,12125392
101499,NA,3968,7358,5504,5279,321445,322433
101505,NA,4320,7710,6026,4733,1183639,1187919
101514,NA,4260,7650,6106,3706,NA,NA
101541,NA,16258,16258,5715,11427,15093396,16646068
101569,NA,4290,7710,5849,6161,585000,585000
101587,NA,8018,14886,6146,7552,327572,396600
101602,NA,4230,7620,5854,6246,NA,NA
101648,NA,8778,14778,5916,5088,2765773,2987650
101675,NA,11604,11604,4404,5140,16954732,18354136
101693,NA,19475,19475,4914,6766,20199568,22102795
101709,NA,10660,21220,7437,7972,16589568,18119935
101736,NA,4231,7621,6132,5099,750749,734778
101879,NA,7412,13268,7424,7218,25252050,28150998
101897,NA,4260,7650,6027,5637,79833,67626
101912,NA,16720,16720,5147,7701,10333321,12014468
101949,NA,4260,7650,5711,5962,NA,NA
101958,NA,9685,9685,3750,9188,NA,NA
101994,NA,4320,7710,5851,9032,NA,NA
102030,NA,4260,7650,5987,5895,149999,150481
102049,NA,27324,27324,8367,14553,294872360,323843012
102058,NA,6680,6680,2989,6907,NA,NA
102067,NA,3960,7350,5339,4615,NA,NA
102076,NA,4320,7710,6300,3230,2567759,2368319
102094,NA,7188,14076,7195,10870,157112000,174138000
102234,NA,32468,32468,6071,7460,20520876,22874407
102261,NA,11370,11370,4554,4617,1498852,1508350
102270,NA,15865,15865,4597,9567,18267643,17344861
102298,NA,12509,12509,5186,8739,3306091,3318382
102313,NA,3336,6048,5942,8227,NA,NA
102368,NA,7564,14092,6246,5643,528918,578351
102377,NA,19570,19570,8399,14344,115273882,130243897
102395,NA,NA,NA,5569,3335,1000000,1000000
102429,NA,4290,7680,6093,6554,147298,148059
102553,NA,5494,16466,8640,10594,50217064,54153430
102580,NA,9300,9300,2201,9585,57471,57605
102614,NA,5246,16238,9175,16892,78974513,90621496
102632,NA,5901,16705,7863,12814,4078273,4634380
102669,NA,19610,19610,5804,11261,102565270,103679684
102711,NA,NA,NA,6530,21957,NA,NA
102845,NA,19532,19532,4004,2617,NA,NA
103501,NA,NA,NA,3861,4178,NA,NA
103644,NA,12204,12204,9181,7785,NA,NA
103723,NA,NA,NA,NA,15126,NA,NA
103732,NA,NA,NA,NA,13914,NA,NA
103741,NA,NA,NA,NA,6111,NA,NA
103778,NA,NA,NA,13694,55110,24804249,28327909
103787,NA,11700,11700,2491,8378,109862,110366
103811,NA,NA,NA,NA,5458,NA,NA
103893,NA,NA,NA,3929,3582,NA,NA
103909,NA,NA,NA,4148,6542,NA,NA
103927,NA,NA,NA,3047,2581,NA,NA
103945,NA,16968,16968,5438,3873,NA,NA
103954,NA,NA,NA,NA,6566,NA,NA
103963,NA,NA,NA,NA,7086,NA,NA
104090,NA,NA,NA,5679,6269,NA,NA
104151,NA,10157,24503,10647,9671,552789000,625833000
104160,NA,2480,8085,6175,5285,1786961,1799300
104179,NA,10957,29421,10303,12071,611746000,760679000
104188,NA,23069,23069,4652,2963,NA,NA
104346,NA,2400,10440,6105,6512,4142419,4650642
104364,NA,13203,13203,5464,3883,NA,NA
104391,NA,NA,NA,NA,1830,NA,NA
104425,NA,1800,6000,6501,3140,5257327,6664987
104434,NA,NA,NA,NA,6584,NA,NA
104443,NA,NA,NA,NA,6356,NA,NA
104504,NA,NA,NA,NA,3265,NA,NA
104568,NA,NA,NA,NA,3770,NA,NA
104577,NA,2000,9200,8186,5555,NA,NA
104586,NA,31648,31648,8536,14781,0,24646477
104665,NA,NA,NA,5208,38544,NA,NA
104708,NA,2046,7830,9014,4684,NA,NA
104717,NA,17050,17050,5792,1837,NA,NA
104911,NA,NA,NA,NA,5705,NA,NA
105145,NA,2046,7830,9051,5491,NA,NA
105154,NA,2046,7830,9266,4701,NA,NA
105163,NA,18048,18048,5136,1722,NA,NA
105172,NA,18048,18048,5229,1925,NA,NA
105206,NA,2088,6888,5437,3613,3754265,4372538
105215,NA,NA,NA,NA,3365,NA,NA
105297,NA,725,725,5768,9532,4644078,6300768
105330,NA,9990,22510,7987,7510,107274943,136074000
105349,NA,1664,7640,6020,6303,12414,12414
105367,NA,11670,11670,6026,1771,2838801,2724748
105428,NA,2046,7830,10008,5044,NA,NA
105482,NA,NA,NA,NA,5427,NA,NA
105525,NA,1844,8048,5403,3914,4506939,4929224
105534,NA,NA,NA,6249,2713,NA,NA
105543,NA,NA,NA,5225,3033,NA,NA
105589,NA,26415,26415,4386,7738,1204649,1457048
105659,NA,NA,NA,3374,1491,NA,NA
105668,NA,2046,7830,9599,2173,NA,NA
105677,NA,NA,NA,NA,9626,NA,NA
105701,NA,NA,NA,NA,6080,NA,NA
105747,NA,2046,7830,9505,6584,NA,NA
105792,NA,2046,7830,9437,5705,NA,NA
105899,NA,22466,22466,5030,6537,1923396,1928167
105987,NA,NA,NA,NA,3443,NA,NA
106041,NA,NA,NA,5008,3241,NA,NA
106102,NA,6000,6000,7104,3306,NA,NA
106111,NA,NA,NA,NA,7609,NA,NA
106148,NA,1896,8088,6621,5818,8688053,9624376
106245,NA,7432,17764,7881,7485,74671942,84967951
106263,NA,NA,NA,8025,62580,29496000,32764000
106281,NA,NA,NA,NA,10718,NA,NA
106306,NA,8040,8040,4021,4684,NA,NA
106315,NA,NA,NA,NA,3417,NA,NA
106324,NA,NA,NA,NA,3272,NA,NA
106342,NA,24300,24300,6404,10540,44341429,45020624
106351,NA,NA,NA,NA,1702,NA,NA
106360,NA,NA,NA,NA,5724,NA,NA
106397,NA,8210,20300,9085,9069,819813727,929693370
106412,NA,6178,11908,5485,7827,1741022,3415911
106449,NA,2808,4518,4972,4949,146914,169409
106458,NA,7720,13480,6927,5358,42838381,46041385
106467,NA,5862,10878,6083,4516,20351024,22641430
106485,NA,6082,12052,5434,7186,2580447,2880119
106494,NA,NA,NA,NA,5534,NA,NA
106546,NA,8402,8402,NA,5108,NA,NA
106625,NA,2688,5232,4606,4328,NA,NA
106704,NA,7889,13806,6562,6788,23705777,25952861
106713,NA,13800,13800,5007,5018,2515648,2736455
106795,NA,2332,5212,4855,5918,76785,77489
106810,NA,11800,11800,3603,3030,1303145,1315915
106829,NA,1350,1350,NA,7567,NA,NA
106883,NA,2610,3390,5196,4156,279027,282226
106892,NA,NA,NA,NA,1740,NA,NA
106908,NA,NA,NA,NA,3538,NA,NA
106980,NA,3140,4540,4602,5816,860854,928140
106999,NA,2262,3942,4511,6530,NA,NA
107044,NA,17040,17040,7185,9684,105172399,117046106
107071,NA,7860,14220,5624,6495,14724336,16150544
107080,NA,39290,39290,7333,11426,173280855,179657921
107099,NA,NA,NA,NA,5496,NA,NA
107123,NA,NA,NA,6232,4721,NA,NA
107141,NA,23588,23588,6451,7556,80324375,92843034
107211,NA,NA,NA,NA,5915,NA,NA
107220,NA,NA,NA,NA,3470,NA,NA
107293,NA,NA,NA,NA,5929,NA,NA
107318,NA,2554,7594,4402,12448,2145369,2283132
107327,NA,1954,3634,5023,9608,3653576,3477652
107363,NA,NA,NA,NA,4544,NA,NA
107442,NA,NA,NA,NA,1857,NA,NA
107460,NA,1896,4176,5141,5405,3745770,4245113
107488,NA,2321,2321,NA,9710,NA,NA
107512,NA,23320,23320,6255,8934,84143933,87394023
107521,NA,3310,5950,4353,5258,NA,NA
107549,NA,2680,5032,4489,3782,1478506,1587556
107558,NA,24470,24470,6124,9797,92157588,100535743
107585,NA,2732,3788,4855,3836,33000,39000
107600,NA,12564,12564,4672,6539,9624110,10732470
107619,NA,2583,4315,4369,6863,NA,NA
107637,NA,3070,5590,4715,4811,544425,549558
107655,NA,NA,NA,NA,1973,NA,NA
107664,NA,4013,5753,5125,3618,1340886,1571082
107725,NA,2281,4396,4528,5506,2151740,2167367
107743,NA,2352,5280,4813,4541,NA,NA
107789,NA,NA,NA,NA,4460,NA,NA
107831,NA,NA,NA,NA,850,NA,NA
107840,NA,4200,4200,3133,1006,254586,141000
107877,NA,14360,14360,4720,5047,10406395,12645874
107974,NA,2330,4442,4628,6799,1335233,1218423
107983,NA,7736,11186,6269,6436,3189609,3508491
107992,NA,4677,6117,4435,6710,845433,950271
108065,NA,NA,NA,NA,720,NA,NA
108092,NA,4727,10511,6722,5534,70115940,79376123
108232,NA,19740,19740,7237,12136,NA,NA
108250,NA,18048,18048,6706,3361,NA,NA
108269,NA,NA,NA,NA,4146,NA,NA
108348,NA,NA,NA,NA,1471,NA,NA
108649,NA,NA,NA,NA,3878,NA,NA
108667,NA,1144,6256,7344,3772,NA,NA
108807,NA,1346,6750,8056,4454,16354387,21125985
108852,NA,30650,30650,7147,6652,1710098,1710098
108861,NA,NA,NA,5199,17070,5096660,5297847
108870,NA,NA,NA,6723,6831,7561179,7961927
108977,NA,NA,NA,NA,2623,NA,NA
109040,NA,NA,NA,5023,3829,NA,NA
109086,NA,NA,NA,7732,17174,23403043,25302449
109208,NA,1104,7272,8099,3481,NA,NA
109350,NA,1104,5664,8440,3710,2564789,2628980
109651,NA,37830,37830,7051,19131,69706000,85148000
109721,NA,NA,NA,NA,5156,NA,NA
109730,NA,NA,NA,NA,5107,NA,NA
109785,NA,33096,33096,9360,10128,63909526,58088961
109819,NA,1324,7120,8195,4564,NA,NA
109907,NA,1104,5400,7936,3890,378867,398787
109934,NA,NA,NA,NA,4349,NA,NA
110060,NA,9120,9120,2413,3426,NA,NA
110097,NA,33322,33322,9060,10696,93043117,113668417
110185,NA,20112,20112,6497,8556,NA,NA
110194,NA,NA,NA,NA,2909,NA,NA
110219,NA,11850,11850,4305,5522,NA,NA
110246,NA,1364,6164,7473,4664,2112063,2185811
110307,NA,NA,NA,6725,9380,19268,19269
110316,NA,NA,NA,8743,10901,1382723,1386723
110334,NA,1358,5698,7606,6668,16755434,17671181
110361,NA,29422,29422,8550,8080,14019392,15774938
110370,NA,41942,41942,9021,15586,30334000,32096000
110398,NA,NA,NA,12653,23717,32806799,37519407
110404,NA,43362,43362,18138,92590,1960435000,2118100000
110413,NA,37140,37140,9808,8294,61760588,86235853
110422,NA,8918,20078,8767,9610,184355094,207485860
110468,NA,16350,16350,9331,8800,1333343,1261586
110486,NA,6792,17952,8249,6431,20178522,19552385
110495,NA,6686,17846,8039,8321,10263794,11500561
110510,NA,6550,17710,8521,6809,21312719,24588236
110529,NA,6904,18064,9036,7308,69271861,86644218
110538,NA,7002,18162,8243,6913,35624731,36111573
110547,NA,6139,17299,8172,6715,12165790,13500381
110556,NA,6299,17459,8111,6613,136018304,153535264
110565,NA,6315,17475,8561,7739,42724221,50355029
110574,NA,6564,17724,8628,7087,10684335,10812559
110583,NA,6452,17612,8669,7681,50573929,57046044
110592,NA,6348,17508,8683,6587,17355399,19515537
110608,NA,6549,17709,8457,6730,66980817,81369974
110617,NA,6648,17808,8470,7426,28981610,32297235
110635,NA,12972,35850,15194,18988,1411707000,1671939000
110644,NA,13896,36774,12587,22820,252719000,320745000
110653,NA,13179,36057,13297,18713,261488000,310163000
110662,NA,12705,35583,15841,40020,1411797000,1616045000
110671,NA,13407,36285,11880,10948,111234000,136003000
110680,NA,13427,36305,13689,24195,471858000,534912000
110699,NA,NA,NA,11486,116672,766144000,912957000
110705,NA,13865,36743,13665,11314,126046000,144379000
110714,NA,13397,36275,12428,8835,61658000,80262000
110778,NA,NA,NA,6303,10016,NA,NA
110875,NA,NA,NA,NA,1064,NA,NA
110918,NA,8540,8540,796,3655,99305,103645
111009,NA,14774,14774,5499,7026,NA,NA
111054,NA,NA,NA,NA,4456,NA,NA
111081,NA,42260,42260,6484,21618,115310499,137535200
111188,NA,6536,17696,8317,15227,5335426,6687086
111391,NA,NA,NA,12414,14395,21853178,24308916
111434,NA,1452,8022,8558,4342,NA,NA
111461,NA,1154,5474,9480,4541,1691793,1705293
111513,NA,NA,NA,NA,5149,NA,NA
111638,NA,NA,NA,6361,5567,NA,NA
111708,NA,NA,NA,NA,5335,NA,NA
111717,NA,NA,NA,NA,7301,NA,NA
111726,NA,NA,NA,NA,6154,NA,NA
111744,NA,NA,NA,NA,8052,NA,NA
111762,NA,NA,NA,NA,6845,NA,NA
111799,NA,NA,NA,NA,6375,NA,NA
111887,NA,1346,7506,9376,5301,NA,NA
111896,NA,1290,7086,8591,4399,NA,NA
111920,NA,1138,6970,8167,5154,NA,NA
111939,NA,1153,6073,8245,4268,NA,NA
111948,NA,45393,45393,11197,14025,229506000,273823000
111966,NA,12436,12436,7372,18391,61873500,76672000
112075,NA,30640,30640,6855,5536,12223641,17642781
112084,NA,27090,27090,5924,7034,642861,653888
112127,NA,NA,NA,6269,18911,17275621,17562428
112172,NA,1176,6144,8829,3536,2403342,2487742
112181,NA,NA,NA,NA,3957,NA,NA
112190,NA,1290,7246,7666,7752,NA,NA
112251,NA,NA,NA,13446,27210,171759196,190098597
112260,NA,47395,47395,12751,25915,599147000,699493000
112288,NA,NA,NA,NA,2319,NA,NA
112367,NA,NA,NA,NA,3069,NA,NA
112385,NA,1136,5432,9761,3077,844130,970816
112394,NA,16160,16160,7513,8102,NA,NA
112446,NA,20800,20800,3499,2769,NA,NA
112455,NA,NA,NA,NA,1857,NA,NA
112525,NA,NA,NA,9907,28406,13205041,15493770
112561,NA,1150,6406,8196,4750,296432,296433
112570,NA,18975,18975,NA,3652,NA,NA
112686,NA,1142,5678,7839,4378,NA,NA
112826,NA,1298,7038,8007,5237,3562789,3855911
113096,NA,1104,7272,8102,3396,NA,NA
113111,NA,1142,5606,8339,3004,NA,NA
113193,NA,1234,6408,7176,4817,7287144,7572242
113218,NA,1386,6896,7459,3667,NA,NA
113236,NA,1138,6226,10741,3839,NA,NA
113333,NA,1542,8247,8513,4273,11223544,12282099
113397,NA,NA,NA,NA,5105,NA,NA
113449,NA,NA,NA,NA,1543,NA,NA
113537,NA,12750,12750,3036,4767,NA,NA
113573,NA,1316,6832,9735,6007,19872142,21725131
113582,NA,17547,17547,5349,3299,NA,NA
113634,NA,1298,7038,7775,4784,3811460,4420393
113698,NA,41730,41730,8357,14391,27259987,34786972
113704,NA,NA,NA,3299,15743,1082391,1183795
113856,NA,1220,6810,6699,4148,NA,NA
113908,NA,NA,NA,NA,5225,NA,NA
113980,NA,1142,5678,8710,4906,NA,NA
114044,NA,NA,NA,NA,1468,NA,NA
114071,NA,NA,NA,NA,4786,NA,NA
114080,NA,NA,NA,NA,5674,NA,NA
114114,NA,NA,NA,NA,3127,NA,NA
114123,NA,NA,NA,3731,4867,NA,NA
114266,NA,1326,7010,8549,8745,19970407,19630294
114354,NA,29930,29930,2982,8393,NA,NA
114390,NA,29930,29930,2310,9270,NA,NA
114415,NA,29930,29930,2232,7507,NA,NA
114433,NA,1446,7266,5450,7393,39354,39353
114460,NA,NA,NA,NA,2851,NA,NA
114549,NA,NA,NA,6157,12415,4196194,4810300
114585,NA,NA,NA,3636,3085,NA,NA
114637,NA,NA,NA,NA,6746,NA,NA
114716,NA,1551,8256,8679,5280,7896634,9004035
114734,NA,NA,NA,7491,14929,4010325,4901221
114761,NA,NA,NA,NA,2308,NA,NA
114789,NA,1188,6828,8534,3954,5193543,5989697
114813,NA,26638,26638,6342,6076,11445801,12779152
114840,NA,NA,NA,5867,10196,174842000,210081000
114859,NA,1138,6010,10713,3874,NA,NA
114938,NA,1246,6654,8887,5526,NA,NA
114947,NA,NA,NA,NA,9665,NA,NA
115001,NA,1175,5663,8281,4703,9393221,10825416
115010,NA,NA,NA,4167,4127,NA,NA
115083,NA,14640,14640,12153,9078,65787439,70876119
115126,NA,1176,5472,9677,3639,1462806,1682343
115214,NA,NA,NA,6793,4010,29351307,33458151
115296,NA,1387,6897,7993,4010,NA,NA
115357,NA,NA,NA,NA,2223,NA,NA
115393,NA,1420,7060,8449,5133,4712427,4930355
115409,NA,48594,48594,12765,30078,241583964,283696431
115454,NA,13620,13620,6423,3112,NA,NA
115472,NA,13620,13620,5217,2555,NA,NA
115490,NA,13620,13620,6085,2255,NA,NA
115515,NA,13620,13620,4153,3552,NA,NA
115533,NA,13620,13620,6020,3409,NA,NA
115658,NA,NA,NA,NA,1103,NA,NA
115728,NA,34488,34488,9842,8413,12528301,14887244
