UNITID,SATVRMID,SATMTMID,SATWRMID,SAT_AVG,SAT_AVG_ALL,C200_4_POOLED_SUPP,MDCOMP_ALL,UG25ABV
100654,424,420,420,827,827,NA,NA,NA
100663,570,565,NA,1107,1107,NA,NA,NA
100690,NA,NA,NA,NA,NA,NA,NA,NA
100706,595,590,NA,1219,1219,NA,NA,NA
100724,425,430,NA,851,851,NA,NA,NA
100751,555,565,540,1185,1185,NA,NA,NA
100760,NA,NA,NA,NA,NA,NA,NA,NA
100812,NA,NA,NA,NA,NA,NA,NA,NA
100830,486,509,NA,1009,1009,NA,NA,NA
100858,575,588,565,1215,1215,NA,NA,NA
100937,560,560,NA,1181,1181,NA,NA,NA
101028,NA,NA,NA,NA,NA,NA,NA,NA
101073,420,400,NA,942,942,NA,NA,NA
101116,NA,NA,NA,NA,NA,NA,NA,NA
101143,NA,NA,NA,NA,NA,NA,NA,NA
101161,NA,NA,NA,NA,NA,NA,NA,NA
101189,NA,NA,NA,NA,NA,NA,NA,NA
101240,NA,NA,NA,NA,NA,NA,NA,NA
101277,NA,NA,NA,NA,NA,NA,NA,NA
101286,NA,NA,NA,NA,NA,NA,NA,NA
101295,NA,NA,NA,NA,NA,NA,NA,NA
101301,NA,NA,NA,NA,NA,NA,NA,NA
101365,NA,NA,NA,NA,NA,NA,NA,NA
101435,510,490,NA,1026,1026,NA,NA,NA
101453,NA,NA,NA,NA,NA,NA,NA,NA
101462,NA,NA,NA,NA,NA,NA,NA,NA
101471,NA,NA,NA,NA,NA,NA,NA,NA
101480,495,485,NA,1041,1041,NA,NA,NA
101499,NA,NA,NA,NA,NA,NA,NA,NA
101505,NA,NA,NA,NA,NA,NA,NA,NA
101514,NA,NA,NA,NA,NA,NA,NA,NA
101541,NA,NA,NA,NA,NA,NA,NA,NA
101569,NA,NA,NA,NA,NA,NA,NA,NA
101587,NA,NA,NA,990,990,NA,NA,NA
101602,NA,NA,NA,NA,NA,NA,NA,NA
101648,550,558,NA,1055,1055,NA,NA,NA
101675,NA,NA,NA,NA,NA,NA,NA,NA
101693,470,465,NA,1014,1014,NA,NA,NA
101709,548,528,533,1070,1070,NA,NA,NA
101736,NA,NA,NA,NA,NA,NA,NA,NA
101879,506,484,NA,1029,1029,NA,NA,NA
101897,NA,NA,NA,NA,NA,NA,NA,NA
101912,476,450,NA,928,928,NA,NA,NA
101949,NA,NA,NA,NA,NA,NA,NA,NA
101958,NA,NA,NA,NA,NA,NA,NA,NA
101994,NA,NA,NA,NA,NA,NA,NA,NA
102030,NA,NA,NA,NA,NA,NA,NA,NA
102049,565,558,555,1165,1165,NA,NA,NA
102058,NA,NA,NA,NA,NA,NA,NA,NA
102067,NA,NA,NA,NA,NA,NA,NA,NA
102076,NA,NA,NA,NA,NA,NA,NA,NA
102094,510,518,485,1048,1048,NA,NA,NA
102234,535,538,NA,1116,1116,NA,NA,NA
102261,NA,NA,NA,930,930,NA,NA,NA
102270,448,424,NA,811,811,NA,NA,NA
102298,NA,NA,NA,NA,NA,NA,NA,NA
102313,NA,NA,NA,NA,NA,NA,NA,NA
102368,508,505,NA,1047,1047,NA,NA,NA
102377,455,465,NA,978,978,NA,NA,NA
102395,NA,NA,NA,NA,NA,NA,NA,NA
102429,NA,NA,NA,NA,NA,NA,NA,NA
102553,NA,NA,NA,NA,NA,NA,NA,NA
102580,NA,NA,NA,NA,NA,NA,NA,NA
102614,NA,NA,NA,NA,NA,NA,NA,NA
102632,NA,NA,NA,NA,NA,NA,NA,NA
102669,555,503,530,1054,1054,NA,NA,NA
102711,NA,NA,NA,NA,NA,NA,NA,NA
102845,NA,NA,NA,NA,NA,NA,NA,NA
103501,NA,NA,NA,NA,NA,NA,NA,NA
103644,NA,NA,NA,NA,NA,NA,NA,NA
103723,NA,NA,NA,NA,NA,NA,NA,NA
103732,NA,NA,NA,NA,NA,NA,NA,NA
103741,NA,NA,NA,NA,NA,NA,NA,NA
103778,NA,NA,NA,NA,NA,NA,NA,NA
103787,NA,NA,NA,NA,NA,NA,NA,NA
103811,NA,NA,NA,NA,NA,NA,NA,NA
103893,NA,NA,NA,NA,NA,NA,NA,NA
103909,NA,NA,NA,NA,NA,NA,NA,NA
103927,NA,NA,NA,NA,NA,NA,NA,NA
103945,NA,NA,NA,NA,NA,NA,NA,NA
103954,NA,NA,NA,NA,NA,NA,NA,NA
103963,NA,NA,NA,NA,NA,NA,NA,NA
104090,NA,NA,NA,NA,NA,NA,NA,NA
104151,565,580,NA,1145,1135,NA,NA,NA
104160,NA,NA,NA,NA,NA,NA,NA,NA
104179,NA,NA,NA,NA,NA,NA,NA,NA
104188,NA,NA,NA,NA,NA,NA,NA,NA
104346,NA,NA,NA,NA,NA,NA,NA,NA
104364,NA,NA,NA,NA,NA,NA,NA,NA
104391,NA,NA,NA,NA,NA,NA,NA,NA
104425,NA,NA,NA,NA,NA,NA,NA,NA
104434,NA,NA,NA,NA,NA,NA,NA,NA
104443,NA,NA,NA,NA,NA,NA,NA,NA
104504,NA,NA,NA,NA,NA,NA,NA,NA
104568,NA,NA,NA,NA,NA,NA,NA,NA
104577,NA,NA,NA,NA,NA,NA,NA,NA
104586,NA,NA,NA,NA,NA,NA,NA,NA
104665,NA,NA,NA,NA,NA,NA,NA,NA
104708,NA,NA,NA,NA,NA,NA,NA,NA
104717,NA,NA,NA,NA,NA,NA,NA,NA
104911,NA,NA,NA,NA,NA,NA,NA,NA
105145,NA,NA,NA,NA,NA,NA,NA,NA
105154,NA,NA,NA,NA,NA,NA,NA,NA
105163,NA,NA,NA,NA,NA,NA,NA,NA
105172,NA,NA,NA,NA,NA,NA,NA,NA
105206,NA,NA,NA,NA,NA,NA,NA,NA
105215,NA,NA,NA,NA,NA,NA,NA,NA
105297,NA,NA,NA,NA,NA,NA,NA,NA
105330,NA,NA,NA,NA,NA,NA,NA,NA
105349,NA,NA,NA,NA,NA,NA,NA,NA
105367,NA,NA,NA,NA,NA,NA,NA,NA
105428,NA,NA,NA,NA,NA,NA,NA,NA
105482,NA,NA,NA,NA,NA,NA,NA,NA
105525,NA,NA,NA,NA,NA,NA,NA,NA
105534,NA,NA,NA,NA,NA,NA,NA,NA
105543,NA,NA,NA,NA,NA,NA,NA,NA
105589,545,503,503,1073,1073,NA,NA,NA
105659,NA,NA,NA,NA,NA,NA,NA,NA
105668,NA,NA,NA,NA,NA,NA,NA,NA
105677,NA,NA,NA,NA,NA,NA,NA,NA
105701,NA,NA,NA,NA,NA,NA,NA,NA
105747,NA,NA,NA,NA,NA,NA,NA,NA
105792,NA,NA,NA,NA,NA,NA,NA,NA
105899,485,480,NA,988,988,NA,NA,NA
