UNITID,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,UGDS_MEN,UGDS_WOMEN
100654,NA,NA,NA,0.4831,0.5169
100663,NA,NA,NA,0.4169,0.5831
100690,NA,NA,NA,0.3986,0.6014
100706,NA,NA,NA,0.5733,0.4267
100724,NA,NA,NA,0.3877,0.6123
100751,NA,NA,NA,0.458,0.542
100760,NA,NA,NA,0.3756,0.6244
100812,NA,NA,NA,0.3434,0.6566
100830,NA,NA,NA,0.3648,0.6352
100858,NA,NA,NA,0.5103,0.4897
100937,NA,NA,NA,0.5381,0.4619
101028,NA,NA,NA,0.3683,0.6317
101073,NA,NA,NA,0.559,0.441
101116,NA,NA,NA,0.2625,0.7375
101143,NA,NA,NA,0.5396,0.4604
101161,NA,NA,NA,0.3682,0.6318
101189,NA,NA,NA,0.3954,0.6046
101240,NA,NA,NA,0.4015,0.5985
101277,NA,NA,NA,0.0174,0.9826
101286,NA,NA,NA,0.3534,0.6466
101295,NA,NA,NA,0.375,0.625
101301,NA,NA,NA,0.3543,0.6457
101365,NA,NA,NA,0.3576,0.6424
101435,NA,NA,NA,0.5065,0.4935
101453,NA,NA,NA,0.9194,0.0806
101462,NA,NA,NA,0.4435,0.5565
101471,NA,NA,NA,0.7886,0.2114
101480,NA,NA,NA,0.4285,0.5715
101499,NA,NA,NA,0.4327,0.5673
101505,NA,NA,NA,0.3881,0.6119
101514,NA,NA,NA,0.4334,0.5666
101541,NA,NA,NA,0.0319,0.9681
101569,NA,NA,NA,0.4034,0.5966
101587,NA,NA,NA,0.441,0.559
101602,NA,NA,NA,0.379,0.621
101648,NA,NA,NA,0.8129,0.1871
101675,NA,NA,NA,0.5107,0.4893
101693,NA,NA,NA,0.35,0.65
101709,NA,NA,NA,0.3343,0.6657
101736,NA,NA,NA,0.4225,0.5775
101879,NA,NA,NA,0.4257,0.5743
101897,NA,NA,NA,0.3694,0.6306
101912,NA,NA,NA,0.4318,0.5682
101949,NA,NA,NA,0.3653,0.6347
101958,NA,NA,NA,0.0714,0.9286
101994,NA,NA,NA,0.3247,0.6753
102030,NA,NA,NA,0.3926,0.6074
102049,NA,NA,NA,0.3508,0.6492
102058,NA,NA,NA,0.4131,0.5869
102067,NA,NA,NA,0.4446,0.5554
102076,NA,NA,NA,0.3999,0.6001
102094,NA,NA,NA,0.4388,0.5612
102234,NA,NA,NA,0.3967,0.6033
102261,NA,NA,NA,0.5529,0.4471
102270,NA,NA,NA,0.5398,0.4602
102298,NA,NA,NA,0.5849,0.4151
102313,NA,NA,NA,0.5057,0.4943
102368,NA,NA,NA,0.3884,0.6116
102377,NA,NA,NA,0.4258,0.5742
102395,NA,NA,NA,0.8111,0.1889
102429,NA,NA,NA,0.3654,0.6346
102553,NA,NA,NA,0.4236,0.5764
102580,NA,NA,NA,0.5556,0.4444
102614,NA,NA,NA,0.4429,0.5571
102632,NA,NA,NA,0.348,0.652
102669,NA,NA,NA,0.3527,0.6473
102711,NA,NA,NA,0.7885,0.2115
102845,NA,NA,NA,0.2908,0.7092
103501,NA,NA,NA,0.1378,0.8622
103644,NA,NA,NA,0.2626,0.7374
103723,NA,NA,NA,0.7831,0.2169
103732,NA,NA,NA,0.16,0.84
103741,NA,NA,NA,0.0714,0.9286
103778,NA,NA,NA,0,1
103787,NA,NA,NA,0.4607,0.5393
103811,NA,NA,NA,0.8872,0.1128
103893,NA,NA,NA,0.1378,0.8622
103909,NA,NA,NA,0.1685,0.8315
103927,NA,NA,NA,0.191,0.809
103945,NA,NA,NA,0.1875,0.8125
103954,NA,NA,NA,0,1
103963,NA,NA,NA,0.965,0.035
104090,NA,NA,NA,0.2034,0.7966
104151,NA,NA,NA,0.5618,0.4382
104160,NA,NA,NA,0.437,0.563
104179,NA,NA,NA,0.4788,0.5212
104188,NA,NA,NA,0.4845,0.5155
104346,NA,NA,NA,0.3636,0.6364
