UNITID,MDCOST_ALL,GRAD_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,MDEARN_PD,COUNT_NWNE_1YR,COUNT_WNE_1YR,PCTPELL,CDR2,CDR3,PELL_EVER,RPY_7YR_RT,GT_THRESHOLD_P11,COUNT_ED,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,POVERTY_RATE,UNEMP_RATE
100654,NA,32750,14250,12000,NA,NA,NA,0.7356,NA,0.172,0.8717067583,0.4202657807,NA,NA,20.525773196,0.5276823215,0.0175639557,0.8671248568,NA,0.3886743887,30721.910653,NA,NA
100663,NA,20750,12537.5,12500,NA,NA,NA,0.346,NA,0.062,0.6301091178,0.6595565535,NA,NA,23.492139819,0.6286295543,0.1087479194,0.6769003144,0.0031440725,0.3429817605,51156.589051,NA,NA
100690,NA,22829,8481,7125,NA,NA,NA,0.6801,NA,0.122,0.9219653179,0.5521885522,NA,NA,33.89017341,0.6387283237,0.2630057803,0.1040462428,NA,0.5938697318,20279.248555,NA,NA
100706,NA,23250,15000,13500,NA,NA,NA,0.3072,NA,0.061,0.600949094,0.6496739775,NA,NA,23.718723037,0.4641932701,0.1363244176,0.6397756687,0.0077653149,0.3224018476,54853.902071,NA,NA
100724,NA,32500,13228,11250,NA,NA,NA,0.7347,NA,0.156,0.8892147279,0.3693125208,NA,NA,20.528185077,0.6184424894,0.0120560443,0.8546757902,NA,0.375,30283.781036,NA,NA
100751,NA,23250,15750,14804.5,NA,NA,NA,0.204,NA,0.063,0.494269341,0.7110834371,NA,NA,21.356528858,0.5860622186,0.0620139173,0.8471142038,0.0023536635,0.2342332729,90097.06928,NA,NA
100760,NA,14953,6239,5066,NA,NA,NA,0.5892,NA,0.219,0.8971471471,0.4530456853,NA,NA,23.96996997,0.6126126126,0.1043543544,0.6036036036,NA,0.5519031142,26666.024775,NA,NA
100812,NA,18332.5,11648,11716.5,NA,NA,NA,0.4088,NA,0.086,0.7389830508,0.6291512915,NA,NA,29.997175141,0.693220339,0.3610169492,0.2870056497,NA,0.4536702768,40716.822599,NA,NA
100830,NA,20500,9000,8250,NA,NA,NA,0.4192,NA,0.106,0.7400736799,0.5848660011,NA,NA,22.659844454,0.6672124437,0.0822758903,0.7151043799,0.005730659,0.3818181818,39535.012689,NA,NA
100858,NA,21500,17000,15500,NA,NA,NA,0.161,NA,0.045,0.4621743037,0.827863046,NA,NA,20.571967655,0.4938005391,0.027672956,0.8981132075,0.004492363,0.1831610044,91587.292543,NA,NA
100937,NA,27000,25958.5,19500,NA,NA,NA,0.192,NA,0.044,0.4487471526,0.8217054264,NA,NA,19.706150342,0.4396355353,NA,0.9726651481,NA,0.1939252336,91514.28246,NA,NA
101028,NA,8422,5500,4638,NA,NA,NA,0.6369,NA,0.11,0.9277912621,0.3808630394,NA,NA,25.413834951,0.6316747573,0.2020631068,0.4987864078,0.0078883495,0.4390243902,25585.939927,NA,NA
101073,NA,32500,10250,6500,NA,NA,NA,0.8667,NA,0.314,0.9630314233,NA,NA,NA,21.049907579,0.314232902,NA,0.8354898336,NA,0.5363247863,18224.981516,NA,NA
101116,NA,24667,6527,7519.5,NA,NA,NA,0.6845,NA,0.17,0.8307586974,0.4236473783,NA,NA,30.388206598,0.7520647011,0.2433565835,0.2257691814,0.0498095768,0.4837853313,27394.02867,NA,NA
101143,NA,7703,4696.5,5500,NA,NA,NA,0.4895,NA,0.232,0.8900634249,0.587431694,NA,NA,25.025369979,0.4975334743,0.1599718111,0.5525017618,0.0084566596,0.4490968801,27413.980268,NA,NA
101161,NA,10250,5500,4630.5,NA,NA,NA,0.4725,NA,0.162,0.8146051514,0.5300171527,NA,NA,24.303141806,0.6628927257,0.1310500991,0.6136427965,0.0056609114,0.4561847517,32024.159355,NA,NA
101189,NA,20320,14750,9500,NA,NA,NA,0.5812,NA,0.1,0.7992813142,0.53156708,NA,NA,28.229466119,0.6036960986,0.1575975359,0.4158110883,NA,0.4299344067,36613.042094,NA,NA
101240,NA,NA,NA,NA,NA,NA,NA,0.5734,NA,NA,NA,NA,NA,NA,24.773882559,0.6041484078,0.1618463336,0.4940111014,0.0081799591,0.5340136054,17667.861525,NA,NA
101277,NA,5500,NA,NA,NA,NA,NA,0.8224,NA,0,0.8684210526,NA,NA,NA,24.5,NA,0.2171052632,0.4802631579,NA,0.5503875969,25352.828947,NA,NA
101286,NA,NA,NA,NA,NA,NA,NA,0.5501,NA,NA,NA,NA,NA,NA,24.897120787,0.6551966292,0.1664325843,0.5214185393,0.0098314607,0.5257048093,18360.188904,NA,NA
101295,NA,10500,8000,5500,NA,NA,NA,0.5026,NA,0.186,0.8289473684,0.5359401955,NA,NA,24.602183651,0.6105823068,0.1718924972,0.5834266517,0.0039193729,0.5262832406,34101.077268,NA,NA
101301,NA,NA,NA,NA,NA,NA,NA,0.7645,NA,NA,NA,NA,NA,NA,23.498567335,0.611747851,0.0508595989,0.6353868195,NA,0.5037098104,14534.502149,NA,NA
101365,NA,22038,9500,9500,NA,NA,NA,0.6541,NA,0.116,0.8590533783,0.5283757339,NA,NA,31.393301547,0.8185835562,0.2411908361,0.1405977439,0.0224444703,0.5244024617,24314.756018,NA,NA
101435,NA,26484,21135,11500,NA,NA,NA,0.3982,NA,0.102,0.643537415,0.6994680851,NA,NA,24.257142857,0.4843537415,0.093877551,0.7020408163,NA,0.3197080292,59020.438095,NA,NA
101453,NA,NA,NA,NA,NA,NA,NA,0.6087,NA,0.173,NA,0.5306122449,NA,NA,29.361111111,NA,0.5,0.3055555556,NA,NA,22450.416667,NA,NA
101462,NA,NA,NA,NA,NA,NA,NA,0.5763,NA,NA,NA,NA,NA,NA,28.808630394,0.5637898687,0.169793621,0.308630394,NA,0.5913140312,15428.283302,NA,NA
101471,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101480,NA,22625,15000,12500,NA,NA,NA,0.4428,NA,0.096,0.691943128,0.6013605442,NA,NA,23.191350711,0.5847156398,0.1175947867,0.720971564,NA,0.40273363,47480.405806,NA,NA
101499,NA,NA,NA,NA,NA,NA,NA,0.5765,NA,NA,NA,NA,NA,NA,24.8033241,0.6440443213,0.1703601108,0.5609418283,NA,0.5482315113,18592.947368,NA,NA
101505,NA,8750,3721,3500,NA,NA,NA,0.3372,NA,0.16,0.8159737418,0.5692079941,NA,NA,24.926258206,0.6599562363,0.1547045952,0.5400437637,0.0035010941,0.4822347464,32722.36477,NA,NA
101514,NA,9890,5255,4750,NA,NA,NA,0.3933,NA,0.183,0.833182885,0.5657389635,NA,NA,24.880122766,0.6046217729,0.165372811,0.5410723957,0.0070409821,0.4871639377,32621.233075,NA,NA
101541,NA,25874.5,NA,NA,NA,NA,NA,0.4784,NA,0.132,0.8310810811,0.5769230769,NA,NA,25.793918919,NA,0.1283783784,0.4763513514,NA,0.4505928854,30574.344595,NA,NA
101569,NA,NA,NA,NA,NA,NA,NA,0.7153,NA,NA,NA,NA,NA,NA,24.984139265,0.5791102515,0.0676982592,0.564410058,0.0119922631,0.4373586612,15980.115667,NA,NA
101587,NA,22368,9500,8912,NA,NA,NA,0.5323,NA,0.078,0.7628099174,0.5613825983,NA,NA,22.37768595,0.558677686,0.0595041322,0.7801652893,NA,0.3825688073,38795.656198,NA,NA
101602,NA,NA,NA,NA,NA,NA,NA,0.5892,NA,NA,NA,NA,NA,NA,23.441760138,0.6289905091,0.1397756687,0.6531492666,NA,0.5215215215,19968.253667,NA,NA
101648,NA,11399.5,6500,5500,NA,NA,NA,0.378,NA,0.136,0.603406326,0.5698924731,NA,NA,19.763990268,0.1849148418,NA,0.9051094891,NA,0.2586666667,61521.289538,NA,NA
