NAME,LABEL
unitid,UNITID
institution_name,
addr1_txt,
addr2_txt,
city_txt,
state_cd,
zip_text,
ClassificationCode,
value_name,
ClassificationOther,
EFRACE15,Total Men
EFRACE16,Total Women
EFRACE24,Grand Total
enrollment_description,
A4,Athletically-Related Student Aid for Men's Team
A5,Athletically-Related Student Aid for Women's Team
A6,Athletically-Related Student Aid for Coed Team
A7,"Total amount of Athletically-Related Student Aid for Men's Team, Women's Team and Coed Team"
A8,Ratio (percent) of Athletically-Related Student Aid for Men's Team
A9,Ratio (percent) of Athletically-Related Student Aid for Women's Team
A10,Ratio (percent) of Athletically-Related Student Aid for Coed Team
A11,Recruiting Expenses for Men's Team
A12,Recruiting Expenses for Women's Team
A13,Total Recruiting Expenses for Men's Team and Women's Team
A14,Annual Institutional Salary per Person for Head Coaches in Men's Team
A15,Annual Institutional Salary per Person for Head Coaches in Women's Team
A16,Annual Institutional Salary per Person for Head Coaches in Coed Team
A17,Number of Head Coaches Included in Average for Men's Team
A18,Number of Head Coaches Included in Average for Women's Team
A19,Number of Head Coaches Included in Average for Coed Team
A20,Average Annual Institutional Salary per FTE for Men's Team
A21,Average Annual Institutional Salary per FTE for Women's Team
A22,Average Annual Institutional Salary per FTE for Coed Team
A23,Number of FTEs included in Average for Men's Team
A24,Number of FTEs included in Average for Women's Team
A25,Number of FTEs included in Average for Coed Team
A26,Annual Institutional Salary per Person for Assistant Coaches in Men's Team
A27,Annual Institutional Salary per Person for Assistant Coaches in Women's Team
A28,Annual Institutional Salary per Person for Assistant Coaches in Coed Team
A29,Number of Assistant Coaches Included in Average for Men's Team
A30,Number of Assistant Coaches Included in Average for Women's Team
A31,Number of Assistant Coaches Included in Average for Coed Team
A32,Average Annual Institutional Salary per FTE for Men's Team
A33,Average Annual Institutional Salary per FTE for Women's Team
A34,Average Annual Institutional Salary per FTE for Coed Team
A35,Number of FTEs included in Average for Men's Team
A36,Number of FTEs included in Average for Women's Team
A37,Number of FTEs included in Average for Coed Team
b4,Total Number of Participants in Men's Team
b5,Total Number of Participants in Women's Team
b6,Total Number of Participants in Men's Coed Team
b7,Total Number of Participants in Women's Coed Team
b8,Total number of Participants in Men's Team and Men's Coed Team
b9,Total number of Participants in Women's Team and Women's Coed Team
b10,Total Operating Expenses per Participant for Men
b11,Total Operating Expenses per Team for Men
b12,Total Operating Expenses per Participant for Women
b13,Total Operating Expenses per Team for Women
b14,Total Operating Expenses (Men + Women)
b15,Total Operating Expenses per Participant for Men (Coed team)
b16,Total Operating Expenses per Team for Men (Coed team)
b17,Total Operating Expenses per Participant for Women (Coed team)
b18,Total Operating Expenses per Team for Women (Coed team)
b19,Total Operating Expenses (Coed Men + Coed Women)
b20,Total amount of expenses per Participant in Men's Team and Men's Coed Team
b21,Total amount of expenses per Team in Men's Team and Men's Coed Team
b22,Total amount of expenses per participant in Women's Team and Women's Coed Team
b23,Total amount of expenses per team in Women's Team and Women's Coed Team
b24,Total Operating Expenses (Men + Women + Coed Men + Coed Women)
b25,Total Number of Head Coaches in Men's Team for Male Full Time Coaching Duties
b26,Total Number of Head Coaches in Men's Team for Male Part Time Coaching Duties
b27,Total Number of Head Coaches in Men's Team for Male Full Time University Employee
b28,Total Number of Head Coaches in Men's Team for Male Part Time University Employee or Volunteer
b29,Total Number of Head Coaches in Men's Team for Female Full Time Coaching Duties
b30,Total Number of Head Coaches in Men's Team for Female Part Time Coaching Duties
b31,Total Number of Head Coaches in Men's Team for Female Full Time University Employee
b32,Total Number of Head Coaches in Men's Team for Female Part Time University Employee or Volunteer
b33,Total Number of Total Head Coaches in Men's Team
b34,Total Number of Head Coaches in Women's Team for Male Full Time Coaching Duties
b35,Total Number of Head Coaches in Women's Team for Male Part Time Coaching Duties
b36,Total Number of Head Coaches in Women's Team for Male Full Time University Employee
b37,Total Number of Head Coaches in Women's Team for Male Part Time University Employee or Volunteer
b38,Total Number of Head Coaches in Women's Team for Female Full Time Coaching Duties
b39,Total Number of Head Coaches in Women's Team for Female Part Time Coaching Duties
b40,Total Number of Head Coaches in Women's Team for Female Full Time University Employee
b41,Total Number of Head Coaches in Women's Team for Female Part Time University Employee or Volunteer
b42,Total Number of Total Head Coaches in Women's Team
b43,Total Number of Head Coaches in Coed Team for Male Full Time Coaching Duties
b44,Total Number of Head Coaches in Coed Team for Male Part Time Coaching Duties
b45,Total Number of Head Coaches in Coed Team for Male Full Time University Employee
b46,Total Number of Head Coaches in Coed Team for Male Part Time University Employee or Volunteer
b47,Total Number of Head Coaches in Coed Team for Female Full Time Coaching Duties
b48,Total Number of Head Coaches in Coed Team for Female Part Time Coaching Duties
b49,Total Number of Head Coaches in Coed Team for Female Full Time University Employee
b50,Total Number of Head Coaches in Coed Team for Female Part Time University Employee or Volunteer
b51,Total Number of Total Head Coaches in Coed Team
b52,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Male Full Time Coaching Duties"
b53,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Male Part Time Coaching Duties"
b54,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Male Full Time University Employee"
b55,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Male Part Time University Employee or Volunteer"
b56,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Female Full Time Coaching Duties"
b57,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Female Part Time Coaching Duties"
b58,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Female Full Time University Employee"
b59,"Total number of Head Coaches in Men's Team, Women's Team and Coed Team for Female Part Time University Employee or Volunteer"
b60,"Total number of Total Head Coaches in Men's Team, Women's Team and Coed Team"
b61,Total Number of Assistant Coaches in Men's Team for Male Full Time Coaching Duties
b62,Total Number of Assistant Coaches in Men's Team for Male Part Time Coaching Duties
b63,Total Number of Assistant Coaches in Men's Team for Male Full Time University Employee
b64,Total Number of Assistant Coaches in Men's Team for Male Part Time University Employee or Volunteer
