  --------------------------- ----------------------------------------------------
  NAME                        LABEL

  unitid                      unitid

  institution_name            institution_name

  addr1_txt                   addr1_txt

  addr2_txt                   addr2_txt

  city_txt                    city_txt

  state_cd                    state_cd

  zip_text                    zip_text

  ClassificationCode          ClassificationCode

  classification_name         classification_name

  ClassificationOther         ClassificationOther

  EFMaleCount                 Total Men

  EFFemaleCount               Total Women

  EFTotalCount                Grand Total

  sector_cd                   sector_cd

  sector_name                 sector_name

  STUDENTAID_MEN              Athletic Student Aid/Men's Team

  STUDENTAID_WOMEN            Athletic Student Aid/Women's Team

  STUDENTAID_COED             Athletic Student Aid/Coed Team

  STUDENTAID_TOTAL            Total Student Aid/ Men's/Women's/Coed Team

  STUAID_MEN_RATIO            Ratio Athletic Student Aid/Men's Team

  STUAID_WOMEN_RATIO          Ratio Athletic Student Aid/Women's Team

  STUAID_COED_RATIO           Ratio Athletic Student Aid/Coed Team

  RECRUITEXP_MEN              Recruiting Expenses for Men's Team

  RECRUITEXP_WOMEN            Recruiting Expenses for Women's Team

  RECRUITEXP_COED             Recruiting Expenses for Coed Team

  RECRUITEXP_TOTAL            Total Recruiting Exp./Men and Women's Team

  HDCOACH_SALARY_MEN          Annual salary per HD Coach/Men's

  HDCOACH_SALARY_WOMEN        Annual Salary per HD Coach/Women's

  HDCOACH_SALARY_COED         Annual Salary per HD Coach/Coed

  NUM_HDCOACH_MEN             # HD Coaches Men's Team

  NUM_HDCOACH_WOMEN           # HD Coaches    Women's Team

  NUM_HDCOACH_COED            # HD Coaches Coed Team

  HDCOACH_SAL_FTE_MEN         Ave. salary per FTE HD Coach/ Men's

  HDCOACH_SAL_FTE_WOMN        Ave. salary per FTE HD Coach/ Women's

  HDCOACH_SAL_FTE_COED        Ave. salary per FTE HD Coach/Coed

  FTE_HDCOACH_MEN             # FTE HD Coach/Men's Team

  FTE_HDCOACH_WOMEN           # FTE HD Coach/Women's Team

  FTE_HDCOACH_COED            # FTE HD Coach/Coed Team

  ASCOACH_SALARY_MEN          Annual Salary/Assist. Coach/Men's

  ASCOACH_SALARY_WOMEN        Annual Salary/Assist. Coach/Women's

  ASCOACH_SALARY_COED         Annual Salary/Assist. Coach/Coed

  NUM_ASCOACH_MEN             # Assist. Coach/Men's

  NUM_ASCOACH_WOMEN           # Assist. Coach/Women's

  NUM_ASCOACH_COED            # Assist. Coach/Coed

  ASCOACH_SAL_FTE_MEN         Ave. salary per FTE/Men's

