ID,OPEID,Institution Name,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Country of Giftor,Giftor Name
325,00108100,Arizona State University,Tempe,AZ,2014-01-09,12126,Contract,QATAR,RasGas Company Limited
326,00108100,Arizona State University,Tempe,AZ,2014-01-22,5763,Contract,JAPAN,Asia University
327,00108100,Arizona State University,Tempe,AZ,2014-01-27,121023,Contract,JAPAN,Asia University
328,00108100,Arizona State University,Tempe,AZ,2014-02-17,136381,Contract,CANADA,University of Western Ontario
329,00108100,Arizona State University,Tempe,AZ,2014-02-25,379106,Contract,VIETNAM,"Intel Products Vietnam Co., Ltd."
330,00108100,Arizona State University,Tempe,AZ,2014-02-26,11308,Contract,QATAR,RasGas Company Limited
331,00108100,Arizona State University,Tempe,AZ,2014-02-27,3292334,Contract,CHINA,Shanghai National Accounting Instit
332,00108100,Arizona State University,Tempe,AZ,2014-02-27,64651,Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
333,00108100,Arizona State University,Tempe,AZ,2014-03-04,11669,Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
334,00108100,Arizona State University,Tempe,AZ,2014-03-21,133393,Contract,CANADA,University of Western Ontario
335,00108100,Arizona State University,Tempe,AZ,2014-03-26,11609,Contract,QATAR,RasGas Company Limited
336,00108100,Arizona State University,Tempe,AZ,2014-04-10,273104,Monetary Gift,GERMANY,Concept Laser
337,00108100,Arizona State University,Tempe,AZ,2014-04-17,137941,Contract,SAUDI ARABIA,Aramco
338,00108100,Arizona State University,Tempe,AZ,2014-04-21,202538,Contract,SAUDI ARABIA,Aramco
339,00108100,Arizona State University,Tempe,AZ,2014-04-22,13787,Contract,SAUDI ARABIA,Aramco
340,00108100,Arizona State University,Tempe,AZ,2014-04-23,187497,Contract,SAUDI ARABIA,Aramco
341,00108100,Arizona State University,Tempe,AZ,2014-05-07,17500,Contract,CHINA,Shanghai Advanced Instit of Finance
342,00108100,Arizona State University,Tempe,AZ,2014-05-07,94617,Contract,QATAR,RasGas Company Limited
343,00108100,Arizona State University,Tempe,AZ,2014-05-16,7087,Contract,CHINA,Shanghai National Accounting Instit
344,00108100,Arizona State University,Tempe,AZ,2014-05-20,449800,Contract,CHINA,Shanghai Advanced Instit of Finance
345,00108100,Arizona State University,Tempe,AZ,2014-05-22,529300,Contract,CHINA,Shanghai Advanced Instit of Finance
346,00108100,Arizona State University,Tempe,AZ,2014-06-10,12139,Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
347,00108100,Arizona State University,Tempe,AZ,2014-06-24,107711,Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
348,00108100,Arizona State University,Tempe,AZ,2014-06-30,245128,Contract,MEXICO,University of Guadalajara
349,00108100,Arizona State University,Tempe,AZ,2014-07-08,17190,Contract,UNITED ARAB EMIRATES,Abu Dhabia National Oil Company
350,00108100,Arizona State University,Tempe,AZ,2014-07-09,2959,Contract,QATAR,RasGas Company Limited
351,00108100,Arizona State University,Tempe,AZ,2014-07-22,138205,Contract,CHINA,Confucius Institute Headquarters
352,00108100,Arizona State University,Tempe,AZ,2014-08-14,4709,Contract,SAUDI ARABIA,Aramco
353,00108100,Arizona State University,Tempe,AZ,2014-08-19,38681,Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
354,00108100,Arizona State University,Tempe,AZ,2014-08-20,716612,Contract,VIETNAM,"Intel Products Vietnam Co., Ltd."
355,00108100,Arizona State University,Tempe,AZ,2014-08-22,210339,Contract,SAUDI ARABIA,Aramco
356,00108100,Arizona State University,Tempe,AZ,2014-09-03,34244,Contract,QATAR,RasGas Company Limited
357,00108100,Arizona State University,Tempe,AZ,2014-10-01,133816,Contract,JAPAN,Asia University
358,00108100,Arizona State University,Tempe,AZ,2014-10-14,11751,Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
359,00108100,Arizona State University,Tempe,AZ,2014-11-17,120000,Contract,CHINA,Confucius Institute Headquarters
360,00108100,Arizona State University,Tempe,AZ,2014-11-18,13863,Contract,SAUDI ARABIA,Aramco
361,00108100,Arizona State University,Tempe,AZ,2014-12-01,322257,Contract,BRAZIL,Govt of Federal District of Brazil
362,00108100,Arizona State University,Tempe,AZ,2014-12-04,39975,Contract,VIETNAM,"Intel Products Vietnam Co., Ltd."
363,00108100,Arizona State University,Tempe,AZ,2014-12-10,231600,Contract,MEXICO,University of Guadalajara
364,00108100,Arizona State University,Tempe,AZ,2014-12-11,192918,Contract,QATAR,RasGas Company Limited
365,00108100,Arizona State University,Tempe,AZ,2014-12-16,12606,Contract,UNITED ARAB EMIRATES,Abu Dhabi National Oil Company
366,00108100,Arizona State University,Tempe,AZ,2014-12-17,1065744,Contract,BRAZIL,Govt of Federal District of Brazil
756,00108300,University of Arizona (The),Tucson,AZ,2014-01-01,577000,Contract,FRANCE,Foundation Leducq
757,00108300,University of Arizona (The),Tucson,AZ,2014-01-13,356025,Contract,SPAIN,Grifols Biologicals Incorporated
758,00108300,University of Arizona (The),Tucson,AZ,2014-01-31,4693000,Contract,JAPAN,University of Tokyo
759,00108300,University of Arizona (The),Tucson,AZ,2014-02-03,348229,Contract,CANADA,KGHM International
760,00108300,University of Arizona (The),Tucson,AZ,2014-02-05,1000000,Contract,CHINA,Huazhong Agricultural University
761,00108300,University of Arizona (The),Tucson,AZ,2014-04-01,283393,Contract,SOUTH KOREA,Korea Basic Science Institute
762,00108300,University of Arizona (The),Tucson,AZ,2014-04-04,468000,Contract,AUSTRALIA,Neuren Pharmaceuticals
763,00108300,University of Arizona (The),Tucson,AZ,2014-05-29,289559,Contract,SOUTH KOREA,Seoul Viosys
764,00108300,University of Arizona (The),Tucson,AZ,2014-05-29,285954,Contract,SOUTH KOREA,Seoul Viosys
765,00108300,University of Arizona (The),Tucson,AZ,2014-11-01,744274,Contract,BRAZIL,Inter-American Institute for Global
766,00108300,University of Arizona (The),Tucson,AZ,2014-12-05,1568998,Contract,MEXICO,Inca Rural
767,00108300,University of Arizona (The),Tucson,AZ,2014-12-15,348143,Contract,CEYLON,International Water Management Inst
847,00110800,University of Arkansas,Fayetteville,AR,2014-04-17,289000,Contract,SWITZERLAND,Walter+Bai AG
848,00110800,University of Arkansas,Fayetteville,AR,2014-06-30,323620,Contract,IRAQ,"Republic of Iraq, Higher Committee"
849,00110800,University of Arkansas,Fayetteville,AR,2014-06-30,2823912,Contract,PANAMA,"Instituto Para LA Formacion, Panama"
850,00110800,University of Arkansas,Fayetteville,AR,2014-06-30,1054144,Contract,SAUDI ARABIA,Saudi Arabian Cultural Mission
851,00110800,University of Arkansas,Fayetteville,AR,2014-12-31,303708,Contract,IRAQ,"Republic of Iraq, Higher Committee"
852,00110800,University of Arkansas,Fayetteville,AR,2014-12-31,1725367,Contract,PANAMA,"Instituto Para LA Formacion, Panama"
853,00110800,University of Arkansas,Fayetteville,AR,2014-12-31,731592,Contract,SAUDI ARABIA,Saudi Arabian Cultural Mission
910,00113100,California Institute of Technology,Pasadena,CA,2014-01-02,600,Monetary Gift,CANADA,Dr. Ronald D. Bercov
