ID,OPEID,Institution Name,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Country of Giftor,Giftor Name
1,00102000,Jacksonville State University,Jacksonville,AL,2019-09-30,250000,Monetary Gift,CHINA,
2,00104700,Troy University,Troy,AL,2019-05-07,463657,Contract,CHINA,Confucius Institute Headquarters
3,00105100,University of Alabama,Tuscaloosa,AL,2019-01-01,3649107,Contract,ENGLAND,Springer Nature Customer Service Ce
4,00105100,University of Alabama,Tuscaloosa,AL,2019-01-07,1000,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
5,00105100,University of Alabama,Tuscaloosa,AL,2019-01-14,49476,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
6,00105100,University of Alabama,Tuscaloosa,AL,2019-02-05,30231,Contract,KUWAIT,Kuwait-Embassy of the State
7,00105100,University of Alabama,Tuscaloosa,AL,2019-02-11,30162,Contract,KUWAIT,Kuwait-Embassy of the State
8,00105100,University of Alabama,Tuscaloosa,AL,2019-02-21,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
9,00105100,University of Alabama,Tuscaloosa,AL,2019-03-05,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
10,00105100,University of Alabama,Tuscaloosa,AL,2019-03-07,57049,Contract,JAPAN,Kansai Gaidai University (KGU)
11,00105100,University of Alabama,Tuscaloosa,AL,2019-03-18,57778,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
12,00105100,University of Alabama,Tuscaloosa,AL,2019-03-19,5188,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
13,00105100,University of Alabama,Tuscaloosa,AL,2019-03-19,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
14,00105100,University of Alabama,Tuscaloosa,AL,2019-03-19,517303,Contract,KOREA,Korea Polar Research Institute - KO
15,00105100,University of Alabama,Tuscaloosa,AL,2019-03-20,844219,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
16,00105100,University of Alabama,Tuscaloosa,AL,2019-04-04,4454795,Contract,KUWAIT,Kuwait-Embassy of the State
17,00105100,University of Alabama,Tuscaloosa,AL,2019-04-29,20156,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
18,00105100,University of Alabama,Tuscaloosa,AL,2019-05-01,400000,Contract,ENGLAND,Springer Nature
19,00105100,University of Alabama,Tuscaloosa,AL,2019-05-03,642,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
20,00105100,University of Alabama,Tuscaloosa,AL,2019-05-06,2568,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
21,00105100,University of Alabama,Tuscaloosa,AL,2019-05-07,312245,Contract,JAPAN,Kansai Gaidai University (KGU)
22,00105100,University of Alabama,Tuscaloosa,AL,2019-05-08,15114,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
23,00105100,University of Alabama,Tuscaloosa,AL,2019-05-28,92,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
24,00105100,University of Alabama,Tuscaloosa,AL,2019-05-29,122911,Contract,KUWAIT,Kuwait-Embassy of the State
25,00105100,University of Alabama,Tuscaloosa,AL,2019-05-29,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
26,00105100,University of Alabama,Tuscaloosa,AL,2019-05-30,100,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
27,00105100,University of Alabama,Tuscaloosa,AL,2019-05-31,17465,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
28,00105100,University of Alabama,Tuscaloosa,AL,2019-06-11,368,Contract,JAPAN,Kansai Gaidai University (KGU)
29,00105100,University of Alabama,Tuscaloosa,AL,2019-06-14,15892,Contract,TURKEY,"Turkish Consulate General,"
30,00105100,University of Alabama,Tuscaloosa,AL,2019-06-14,147476,Contract,TURKEY,"Turkish Consulate General,"
31,00105100,University of Alabama,Tuscaloosa,AL,2019-06-14,3852,Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
32,00105100,University of Alabama,Tuscaloosa,AL,2019-06-14,255,Contract,TURKEY,"Turkish Consulate General,"
33,00105100,University of Alabama,Tuscaloosa,AL,2019-06-19,47762,Contract,KUWAIT,Kuwait-Embassy Of The State
34,00105100,University of Alabama,Tuscaloosa,AL,2019-07-01,31522,Contract,KUWAIT,Kuwait-Embassy Of The State
35,00105100,University of Alabama,Tuscaloosa,AL,2019-07-09,25,Contract,TURKEY,"Turkish Consulate General,"
36,00105100,University of Alabama,Tuscaloosa,AL,2019-07-30,100,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
37,00105100,University of Alabama,Tuscaloosa,AL,2019-07-30,183198,Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
